config,err,inf_time,size,arch,link
"[23, 53, 56, 9, 0.4]",-0.7380232833997302,2.5948050022125244,41362,L3,2
"[23, 69, 17, 12, 0.9]",-0.6292934386940165,2.0051109790802,66402,L3,2
"[57, 9, 73, 20, 0.3]",-0.7375992225405792,2.042367935180664,16558,L3,2
"[30, 70, 47, 25, 0.4]",-0.7381439517216865,2.0134990215301514,71671,L3,2
"[13, 92, 57, 50, 0.3]",-0.7375585892170619,2.104523181915283,107961,L3,2
"[5, 75, 55, 78, 0.8]",-0.7378285609091749,2.064854145050049,69816,L3,2
"[8, 66, 6, 70, 0.4]",-0.2960917258593738,1.995595932006836,55299,L3,2
"[47, 66, 69, 30, 0.0]",-0.7375586532730161,1.9472029209136963,74487,L3,2
"[77, 82, 15, 60, 0.3]",-0.7375830125141983,2.0588951110839844,131015,L3,2
"[24, 21, 28, 98, 0.2]",-0.19860736643577062,2.8687357902526855,9994,L3,2
"[36, 3, 62, 27, 0.7]",-0.7381226718848466,2.1679818630218506,6040,L3,2
"[59, 43, 71, 97, 0.8]",-0.7375910703563215,2.0533480644226074,47120,L3,2
"[44, 96, 6, 75, 0.7]",-0.737626463634215,2.046905040740967,136449,L3,2
"[53, 57, 73, 70, 0.8]",-0.7381252012917204,1.9570190906524658,63246,L3,2
"[12, 21, 72, 42, 0.3]",-0.1421745785441644,2.5612800121307373,7162,L3,2
"[16, 11, 41, 60, 0.7]",-0.7377356156857496,2.912505865097046,3408,L3,2
"[87, 97, 46, 43, 0.3]",-0.7375618407199681,2.4070749282836914,178510,L3,2
"[83, 91, 77, 11, 0.6]",-0.7381570386867565,2.4322969913482666,158624,L3,2
"[94, 11, 98, 39, 0.7]",-0.7378414620946874,2.053598165512085,41784,L3,2
"[13, 96, 65, 94, 0.9]",-0.7379133413465103,1.9954988956451416,117229,L3,2
"[1, 15, 100, 42, 0.0]",-0.43248115835299267,2.299377918243408,2908,L3,2
"[1, 30, 1, 100, 0.0]",-0.3249983929165517,2.0225958824157715,11203,L3,2
"[100, 1, 1, 100, 0.0]",-0.7377061975865888,1.874640941619873,41222,L3,2
"[1, 1, 79, 100, 0.0]",-0.2143826922768191,2.203065872192383,38,L3,2
"[100, 100, 100, 100, 0.0]",-0.7375606162714069,2.220623016357422,201701,L3,2
"[1, 100, 1, 5, 0.0]",-0.7115570347550749,2.1312429904937744,121313,L3,2
"[100, 1, 1, 5, 0.0]",-0.7396951004856981,2.0360569953918457,41222,L3,2
"[100, 100, 1, 5, 0.0]",-0.7393894513165186,2.019826889038086,201701,L3,2
"[1, 30, 73, 43, 0.0]",-0.24141424910509057,2.219282865524292,11203,L3,2
"[30, 1, 100, 100, 0.0]",-0.7376074701919331,2.054711103439331,3982,L3,2
"[36, 44, 1, 100, 0.0]",-0.1869739460570027,2.7294158935546875,35437,L3,2
"[1, 77, 1, 100, 0.0]",-0.25489084313590327,1.8529431819915771,72162,L3,2
"[100, 100, 1, 100, 0.0]",-0.7375584914080678,1.9437260627746582,201701,L3,2
"[1, 15, 53, 100, 1.0]",-0.217842093478584,2.283482074737549,2908,L3,2
"[23, 43, 21, 100, 0.0]",-0.7375586358030963,3.49438214302063,28832,L3,2
"[31, 1, 1, 100, 0.2]",-0.29498333875818783,2.845271110534668,4238,L3,2
"[22, 1, 37, 100, 0.0]",-0.07447021587841066,2.3329789638519287,2222,L3,2
"[54, 31, 1, 100, 1.0]",-0.11767448390916434,1.968207836151123,30604,L3,2
"[1, 100, 100, 5, 1.0]",-0.6637745999411868,1.9595839977264404,121313,L3,2
"[1, 1, 30, 100, 1.0]",-0.23324386692374938,1.9515140056610107,38,L3,2
"[38, 8, 33, 100, 1.0]",-0.7375586358030963,2.5957729816436768,8137,L3,2
"[97, 59, 97, 61, 0.5]",-0.737918805303127,1.9954500198364258,103608,L3,2
"[1, 1, 1, 5, 0.0]",-0.5976622244628332,1.9632749557495117,38,L3,2
"[1, 1, 100, 5, 1.0]",-0.4529483676360737,3.433863878250122,38,L3,2
"[1, 56, 100, 100, 0.0]",-0.2897574073911456,1.8215620517730713,38373,L3,2
"[15, 5, 38, 100, 0.0]",-0.05254798216743829,1.9461548328399658,1666,L3,2
"[1, 100, 1, 76, 0.0]",-0.2199700157624521,2.6159439086914062,121313,L3,2
"[1, 100, 100, 100, 0.0]",-0.5227569987402927,2.145249843597412,121313,L3,2
"[39, 32, 1, 78, 0.0]",-0.7375586416263934,2.0329430103302,23965,L3,2
"[66, 50, 1, 100, 0.0]",-0.3289849149781351,2.515780210494995,61603,L3,2
"[100, 1, 100, 100, 0.0]",-0.10356580530548157,1.9499359130859375,41222,L3,2
"[1, 1, 75, 60, 0.0]",-0.24527945181287547,2.125560998916626,38,L3,2
