config,err,inf_time,size,arch,link
"[23, 53, 56, 9, 0.4]",-1.0717606122276477,2.518073081970215,41362,L3,3
"[23, 69, 17, 12, 0.9]",-0.979346065137655,2.043743848800659,66402,L3,3
"[57, 9, 73, 20, 0.3]",-1.0971541078443459,2.4232091903686523,16558,L3,3
"[30, 70, 47, 25, 0.4]",-0.6359003906002452,2.027401924133301,71671,L3,3
"[13, 92, 57, 50, 0.3]",-1.9867918705876086,2.209760904312134,107961,L3,3
"[5, 75, 55, 78, 0.8]",-1.100936621221611,1.9875619411468506,69816,L3,3
"[8, 66, 6, 70, 0.4]",-0.1774160594779461,2.0844080448150635,55299,L3,3
"[47, 66, 69, 30, 0.0]",-0.1773263754739415,1.8742330074310303,74487,L3,3
"[77, 82, 15, 60, 0.3]",-0.2012707466912091,2.229606866836548,131015,L3,3
"[24, 21, 28, 98, 0.2]",-0.3925699018836721,2.068742036819458,9994,L3,3
"[36, 3, 62, 27, 0.7]",-1.089634933015525,3.3297951221466064,6040,L3,3
"[59, 43, 71, 97, 0.8]",-1.1008740924834162,2.047668933868408,47120,L3,3
"[44, 96, 6, 75, 0.7]",-1.102262548491361,2.094259023666382,136449,L3,3
"[53, 57, 73, 70, 0.8]",-1.1019209327917676,2.151603937149048,63246,L3,3
"[12, 21, 72, 42, 0.3]",-0.13832762174855387,2.125066041946411,7162,L3,3
"[16, 11, 41, 60, 0.7]",-1.1022305902313008,2.6929471492767334,3408,L3,3
"[87, 97, 46, 43, 0.3]",-0.22990209510194132,2.111555814743042,178510,L3,3
"[83, 91, 77, 11, 0.6]",-1.0857499384597806,2.079789161682129,158624,L3,3
"[94, 11, 98, 39, 0.7]",-1.0896287336618908,2.4578800201416016,41784,L3,3
"[13, 96, 65, 94, 0.9]",-0.4739833198317428,1.966658115386963,117229,L3,3
"[1, 14, 100, 45, 0.0]",-0.445254138132484,2.4866158962249756,2547,L3,3
"[100, 75, 1, 30, 0.0]",-1.0442648765874594,2.0260679721832275,138976,L3,3
"[1, 48, 1, 100, 0.0]",-1.3482136253618893,1.9567921161651611,28285,L3,3
"[100, 1, 1, 100, 0.0]",-1.1039406428897631,1.910991907119751,41222,L3,3
"[100, 100, 35, 100, -0.0]",-1.0442752673067714,1.959730863571167,201701,L3,3
"[1, 100, 100, 100, 1.0]",-0.2893398771250271,1.972987174987793,121313,L3,3
"[1, 1, 100, 100, 0.0]",-0.257177590045068,2.0063531398773193,38,L3,3
"[100, 1, 1, 5, 1.0]",-1.0707440688259384,1.9347691535949707,41222,L3,3
"[100, 100, 100, 100, 1.0]",-1.1039575831571862,1.9744939804077148,201701,L3,3
"[1, 62, 1, 51, 0.0]",-1.3600469138173803,1.9595940113067627,46947,L3,3
"[1, 1, 100, 5, 0.0]",-0.37000960446401837,1.994049072265625,38,L3,3
"[1, 100, 100, 5, 1.0]",-0.41500807470627793,1.961198091506958,121313,L3,3
"[1, 1, 60, 100, 1.0]",-0.2897256701536548,2.379995107650757,38,L3,3
"[100, 1, 100, 100, 0.0]",-1.1029116099836334,1.9371449947357178,41222,L3,3
"[1, 100, 1, 100, 1.0]",-0.6023187772248119,2.1245038509368896,121313,L3,3
"[1, 46, 100, 100, 0.0]",-0.5010747111968996,3.300884962081909,26003,L3,3
"[65, 71, 39, 37, 0.0]",-1.1037576264930202,1.9543819427490234,97012,L3,3
"[39, 60, 100, 24, 0.0]",-0.43000634465918064,1.9256670475006104,59497,L3,3
"[100, 100, 1, 65, 1.0]",-0.49418487810104506,2.0113871097564697,201701,L3,3
"[1, 1, 1, 5, 1.0]",-0.3771154892269479,2.1785850524902344,38,L3,3
"[39, 1, 1, 100, 1.0]",-0.28583320572563903,2.681483030319214,6574,L3,3
"[76, 58, 1, 84, 1.0]",-1.1039576052439428,1.8850150108337402,82235,L3,3
