config,err,inf_time,size,arch,link
"[23, 55, 0.6]",-0.1973900336216603,1.0956308841705322,2324,L1,1
"[6, 39, 0.2]",-0.18766973402757703,1.1049609184265137,199,L1,1
"[69, 21, 0.1]",-0.10545789099827262,1.1317169666290283,19666,L1,1
"[94, 59, 0.1]",-0.08271334203758733,1.2111961841583252,36191,L1,1
"[73, 20, 0.3]",-0.09554562821741042,1.20906400680542,21974,L1,1
"[30, 71, 0.5]",-0.1166988124562357,1.135896921157837,3871,L1,1
"[22, 47, 0.1]",-0.31865063048194453,1.0588171482086182,2135,L1,1
"[92, 59, 0.5]",-0.05707034964880244,1.15669584274292,34685,L1,1
"[32, 9, 0.8]",-0.27515496890038876,1.0835669040679932,4385,L1,1
"[55, 78, 0.8]",-0.14303083051444118,1.1457719802856445,12596,L1,1
"[8, 68, 0.1]",-0.1999791892510066,1.135977029800415,329,L1,1
"[69, 47, 0.5]",-0.11620518009610231,1.111419916152954,19666,L1,1
"[66, 71, 0.3]",-0.06632803706721334,1.180171012878418,18019,L1,1
"[2, 78, 0.8]",-0.5462572653935196,1.1018660068511963,35,L1,1
"[15, 60, 0.3]",-0.1711729734673952,1.052764892578125,1036,L1,1
"[24, 24, 0.3]",-0.2091207689440087,1.0691890716552734,2521,L1,1
"[98, 25, 0.4]",-5.067773983404012,1.1607139110565186,39299,L1,1
"[3, 64, 0.2]",-0.22499523340980682,1.064802885055542,64,L1,1
"[74, 61, 0.4]",-0.08839445251427273,1.1413791179656982,22571,L1,1
"[71, 97, 0.8]",-0.16206921263066779,1.166780948638916,20804,L1,1
"[100, 82, 0.0]",-0.024248566082317815,1.081346035003662,40901,L1,1
"[1, 5, 1.0]",-0.22250561894699122,0.9756481647491455,14,L1,1
"[68, 5, 1.0]",-0.08686597657702078,1.0050640106201172,19109,L1,1
"[34, 100, 0.0]",-0.13509979709669223,1.0217368602752686,4931,L1,1
"[93, 70, 0.0]",-0.07176359857275125,1.2095909118652344,35434,L1,1
"[100, 100, 1.0]",-0.09998098990436122,1.1563231945037842,40901,L1,1
"[50, 56, 1.0]",-0.06424916843889482,1.0056869983673096,10451,L1,1
"[52, 100, 0.0]",-0.0526581335417659,1.1531791687011719,11285,L1,1
"[1, 23, 1.0]",-0.2123343905143845,1.2149829864501953,14,L1,1
"[1, 100, 0.0]",-0.21062996621789876,0.9693398475646973,14,L1,1
