config,err,inf_time,size,arch,link
"[23, 53, 57, 0.0]",-0.15329581998385527,1.4459409713745117,18678,L2,4
"[37, 23, 70, 0.2]",-0.3124162523420098,2.8355019092559814,11408,L2,4
"[8, 94, 59, 0.1]",-0.17607062247580677,1.7849860191345215,39143,L2,4
"[73, 17, 29, 0.3]",-0.291147260815252,1.5926501750946045,28106,L2,4
"[70, 47, 25, 0.4]",-0.3261203458172612,1.9055078029632568,42392,L2,4
"[13, 92, 59, 0.5]",-1.1090428959214407,1.60306715965271,39881,L2,4
"[32, 5, 76, 0.5]",-0.3441510506319558,1.7841100692749023,5118,L2,4
"[77, 79, 12, 0.7]",-0.2845184668234324,1.7927329540252686,74024,L2,4
"[6, 69, 47, 0.5]",-1.1061167769793432,1.6375257968902588,21238,L2,4
"[66, 69, 30, 0.0]",-1.2311471095473607,1.5065929889678955,55558,L2,4
"[77, 82, 18, 0.6]",-0.5702768444830292,1.903149127960205,76895,L2,4
"[35, 24, 24, 0.3]",-0.23187332780327716,1.9308969974517822,10965,L2,4
"[98, 22, 39, 0.0]",-0.20331896338305067,1.3535339832305908,49871,L2,4
"[62, 24, 76, 0.6]",-0.18316607947345348,1.5059089660644531,24249,L2,4
"[43, 71, 97, 0.8]",-0.24402338366415077,1.5449860095977783,40472,L2,4
"[44, 96, 10, 0.7]",-0.4124631911823045,1.8296008110046387,62337,L2,4
"[68, 53, 59, 0.7]",-0.18929184753800588,1.4960460662841797,44958,L2,4
"[69, 80, 16, 0.2]",-0.13279177805490078,1.564586877822876,67677,L2,4
"[72, 40, 37, 0.2]",-0.19702821780982532,1.6702919006347656,39433,L2,4
"[11, 41, 60, 0.7]",-0.29330671865111047,3.1226141452789307,9306,L2,4
"[79, 92, 79, 0.0]",-0.09783309478198646,1.54007887840271,88985,L2,4
"[93, 62, 89, 0.1]",-0.2074407548909679,1.5413830280303955,74091,L2,4
"[17, 55, 9, 0.3]",-0.5543152682286875,1.5214338302612305,17408,L2,4
"[95, 100, 49, 0.0]",-0.37966818453390777,1.6505460739135742,115361,L2,4
"[2, 1, 17, 0.6]",-0.8168616498807184,2.2865149974823,50,L2,4
"[92, 4, 87, 0.4]",-0.2702384740121098,1.4627068042755127,36149,L2,4
"[97, 30, 6, 0.3]",-1.1058423410410168,1.5101048946380615,53803,L2,4
"[4, 33, 33, 0.1]",-0.13556005877450678,1.7893919944763184,5146,L2,4
"[1, 81, 10, 0.0]",-1.0834443339278303,1.3968899250030518,26986,L2,4
"[57, 81, 66, 0.4]",-0.13886027661593303,1.5371677875518799,58570,L2,4
"[85, 33, 96, 1.0]",-0.6759508829730493,1.696429967880249,45322,L2,4
"[99, 61, 31, 0.0]",-1.0597034257697306,1.5303010940551758,79342,L2,4
"[47, 17, 100, 1.0]",-0.24073369534354702,1.4531500339508057,13650,L2,4
"[5, 55, 88, 0.3]",-0.4248992746686797,1.4615728855133057,13616,L2,4
"[3, 6, 54, 0.3]",-0.37844571852066333,1.4229907989501953,307,L2,4
"[47, 98, 41, 0.1]",-0.22000322570902442,1.5995750427246094,66543,L2,4
"[1, 97, 59, 0.0]",-0.32428699005368866,1.2931110858917236,38522,L2,4
"[54, 26, 5, 0.0]",-0.189274838429393,1.3774359226226807,20547,L2,4
"[94, 72, 59, 0.9]",-1.106315219214596,1.7971279621124268,84265,L2,4
"[100, 83, 100, 1.0]",-0.2395779116985278,1.4478938579559326,101972,L2,4
"[21, 87, 90, 0.7]",-0.23190184802387376,1.475322961807251,39952,L2,4
"[44, 3, 5, 0.3]",-1.048688241233955,2.321669101715088,8676,L2,4
"[96, 43, 57, 0.0]",-0.38796480518790594,1.683471918106079,61756,L2,4
"[43, 3, 41, 0.9]",-0.9268732494269979,2.045619010925293,8308,L2,4
"[47, 100, 79, 0.0]",-0.20252514740948466,1.5984079837799072,68513,L2,4
"[98, 100, 11, 1.0]",-0.849051645154535,1.5542430877685547,118901,L2,4
