config,err,inf_time,size,arch,link
"[23, 53, 56, 9, 0.4]",-1.2709900133498326,3.585118055343628,41362,L3,6
"[23, 69, 17, 12, 0.9]",-1.1526237427973045,2.6036770343780518,66402,L3,6
"[57, 9, 73, 20, 0.3]",-1.2715492023970703,4.1879448890686035,16558,L3,6
"[30, 70, 47, 25, 0.4]",-0.5796590730096748,2.2271370887756348,71671,L3,6
"[13, 92, 57, 50, 0.3]",-0.4707157219682604,2.267542839050293,107961,L3,6
"[5, 75, 55, 78, 0.8]",-1.2840106275197805,2.368535041809082,69816,L3,6
"[8, 66, 6, 70, 0.4]",-0.1998222396438079,2.641810178756714,55299,L3,6
"[47, 66, 69, 30, 0.0]",-1.2837916621138818,1.9990148544311523,74487,L3,6
"[77, 82, 15, 60, 0.3]",-0.29532282918866287,2.0776138305664062,131015,L3,6
"[24, 21, 28, 98, 0.2]",-0.2898160699472264,2.592810869216919,9994,L3,6
"[36, 3, 62, 27, 0.7]",-1.2819925609532519,2.820457935333252,6040,L3,6
"[59, 43, 71, 97, 0.8]",-1.283851773192656,2.243833065032959,47120,L3,6
"[44, 96, 6, 75, 0.7]",-1.283145177164377,2.2443859577178955,136449,L3,6
"[53, 57, 73, 70, 0.8]",-1.2837133352063925,2.1293070316314697,63246,L3,6
"[12, 21, 72, 42, 0.3]",-0.22571846918884014,2.5811049938201904,7162,L3,6
"[16, 11, 41, 60, 0.7]",-1.2769494760313196,2.153264045715332,3408,L3,6
"[87, 97, 46, 43, 0.3]",-0.4553294356001041,2.2082839012145996,178510,L3,6
"[83, 91, 77, 11, 0.6]",-1.2764094703020388,2.393073081970215,158624,L3,6
"[94, 11, 98, 39, 0.7]",-1.2785397015874234,2.4184629917144775,41784,L3,6
"[13, 96, 65, 94, 0.9]",-1.2839942657634331,2.4555938243865967,117229,L3,6
"[1, 13, 100, 43, 0.0]",-0.4059228901911696,2.1912031173706055,2210,L3,6
"[1, 32, 1, 100, 0.0]",-0.2932476441626667,2.629671096801758,12717,L3,6
"[100, 1, 1, 100, 0.0]",-1.2782225769461326,2.8645219802856445,41222,L3,6
"[100, 100, 1, 33, 0.0]",-1.2699428068368126,2.1022908687591553,201701,L3,6
"[100, 100, 42, 100, 0.0]",-1.2837928273941284,2.0911381244659424,201701,L3,6
"[1, 100, 100, 5, 0.0]",-0.4078074847785348,1.9778940677642822,121313,L3,6
"[1, 1, 100, 100, 0.0]",-0.41224069205328134,1.9297099113464355,38,L3,6
"[100, 1, 1, 5, 0.0]",-1.2794556154440813,1.9441089630126953,41222,L3,6
"[1, 100, 48, 22, 0.0]",-1.4060024823791613,1.895641803741455,121313,L3,6
"[37, 34, 1, 100, 0.0]",-0.06448317899222665,2.9511220455169678,24983,L3,6
"[26, 1, 1, 100, 1.0]",-0.222272325364407,2.029832124710083,3038,L3,6
"[1, 100, 100, 51, 1.0]",-0.3866035723402904,1.9275200366973877,121313,L3,6
"[34, 47, 1, 67, 0.0]",-0.22213441316225668,4.374367952346802,38220,L3,6
"[1, 38, 81, 41, 0.0]",-4.136842272979936,2.0055360794067383,17835,L3,6
"[11, 1, 79, 46, 0.4]",-0.739530242209497,2.5590810775756836,638,L3,6
"[100, 1, 100, 100, 0.0]",-1.2806354549871533,1.9223790168762207,41222,L3,6
"[1, 1, 1, 5, 0.0]",-0.5670191426965075,2.000555992126465,38,L3,6
"[49, 81, 63, 21, 0.4]",-1.2775366426447947,2.538525104522705,105334,L3,6
"[100, 100, 100, 100, 1.0]",-1.285157339281622,1.984774112701416,201701,L3,6
"[100, 49, 1, 63, 1.0]",-1.2837928273941284,2.0877718925476074,89654,L3,6
"[1, 1, 100, 5, 1.0]",-0.6523411647529166,2.0066699981689453,38,L3,6
"[1, 100, 1, 100, 0.0]",-0.44558573275685853,2.1869921684265137,121313,L3,6
"[100, 48, 39, 5, 1.0]",-1.3477990316117707,1.8745348453521729,88081,L3,6
"[52, 1, 1, 55, 0.0]",-0.08158510431552748,1.9627161026000977,11462,L3,6
"[45, 1, 1, 5, 1.0]",-0.775824664058804,1.9985458850860596,8662,L3,6
"[1, 39, 1, 52, 1.0]",-0.34779590986562114,1.9791710376739502,18772,L3,6
"[54, 1, 29, 100, 1.0]",-1.279876323043048,3.0775160789489746,12334,L3,6
"[22, 58, 1, 100, -0.0]",-0.04772092541724919,1.8412821292877197,48107,L3,6
"[1, 1, 1, 76, 0.0]",-0.41163858528081754,1.937103033065796,38,L3,6
"[55, 100, 1, 5, 0.0]",-1.2572162555841668,4.388299942016602,155441,L3,6
"[100, 100, 100, 45, 0.0]",-0.12181451976917361,1.9666121006011963,201701,L3,6
"[58, 57, 1, 100, 0.0]",-1.2837928273941284,1.9551949501037598,66646,L3,6
"[82, 6, 52, 48, 1.0]",-1.2795263834247181,1.8809361457824707,30007,L3,6
"[1, 63, 1, 100, 0.0]",-1.3553612635624337,1.9413909912109375,48460,L3,6
"[23, 39, 1, 91, 0.0]",-0.22532120483961926,2.3986709117889404,24492,L3,6
"[1, 1, 25, 100, 1.0]",-0.4060694786572571,2.042994976043701,38,L3,6
"[1, 100, 1, 52, 1.0]",-0.4511994488363538,2.242872953414917,121313,L3,6
"[51, 100, 100, 59, 0.0]",-0.07909385550225204,1.912989854812622,152113,L3,6
"[42, 100, 100, 100, 0.0]",-0.37562331831070145,2.0691099166870117,145093,L3,6
"[39, 1, 100, 100, 1.0]",-1.266633478597496,2.465479850769043,6574,L3,6
"[100, 50, 100, 5, 1.0]",-1.3274506255162566,1.9925599098205566,91251,L3,6
"[75, 100, 100, 53, 1.0]",-0.07854750230142733,2.128931999206543,174001,L3,6
"[1, 100, 100, 100, 1.0]",-13.499857809339682,2.307792901992798,121313,L3,6
"[58, 100, 92, 99, 0.0]",-0.14409597026083215,1.924008846282959,158021,L3,6
"[29, 100, 46, 96, 0.3]",-0.26057489434350334,2.3843579292297363,136097,L3,6
"[42, 100, 62, 67, 1.0]",-1.360483298497139,1.9794819355010986,145093,L3,6
"[41, 100, 100, 5, 1.0]",-1.3337218087450198,1.9943039417266846,144353,L3,6
"[1, 100, 100, 33, 1.0]",-0.32958778111716214,1.841601848602295,121313,L3,6
"[1, 100, 36, 100, 1.0]",-0.42751629588863455,1.9452929496765137,121313,L3,6
"[1, 1, 46, 5, 1.0]",-0.5191511844681388,2.057156801223755,38,L3,6
"[100, 64, 100, 64, 0.0]",-0.1993480340020763,2.103065013885498,116129,L3,6
"[22, 46, 60, 70, 0.3]",-0.2318219771929438,3.1613550186157227,31967,L3,6
"[27, 54, 35, 100, 0.0]",-0.0366394807600376,1.8883299827575684,44443,L3,6
"[31, 54, 33, 58, 0.0]",-1.2837927909783913,2.360819101333618,46267,L3,6
"[1, 28, 55, 100, 0.0]",-1.3205468479766411,2.0346360206604004,9785,L3,6
"[67, 100, 32, 86, 0.1]",-0.2558734793220138,2.193542003631592,166193,L3,6
"[100, 100, 1, 100, 1.0]",-0.16161983026331483,2.081112861633301,201701,L3,6
"[57, 79, 100, 100, 0.0]",-0.21108072693312424,2.1845641136169434,107068,L3,6
"[34, 12, 100, 48, 1.0]",-0.0720787233565987,2.226547956466675,8365,L3,6
"[55, 100, 100, 83, 0.0]",-0.5425282764444528,1.9684150218963623,155441,L3,6
"[1, 100, 1, 5, 0.0]",-0.46782109207720807,2.460005044937134,121313,L3,6
"[29, 22, 71, 55, 1.0]",-0.13073026528265183,2.1550731658935547,12155,L3,6
"[1, 41, 1, 5, 1.0]",-0.39472832660919477,1.9929840564727783,20718,L3,6
"[100, 51, 100, 100, 1.0]",-0.2720930822704666,1.9237492084503174,92872,L3,6
"[15, 59, 3, 74, 0.1]",-0.2975701437394911,2.0801029205322266,46864,L3,6
"[42, 1, 100, 5, 0.0]",-1.276495933968712,1.9929239749908447,7582,L3,6
"[49, 6, 88, 48, 1.0]",-0.07283045280221277,1.977653980255127,11659,L3,6
"[100, 100, 1, 73, 1.0]",-0.07594261516751787,2.052190065383911,201701,L3,6
"[27, 100, 100, 43, 0.0]",-0.26929882887965567,2.0085630416870117,134833,L3,6
"[1, 68, 1, 43, 0.0]",-0.4056867930551405,1.953516960144043,56385,L3,6
"[24, 1, 1, 43, 0.0]",-0.2389710464157208,2.6124041080474854,2614,L3,6
"[47, 29, 1, 39, 0.0]",-0.16971661061393944,2.2895851135253906,25018,L3,6
"[89, 100, 25, 68, 1.0]",-1.3021337821101948,2.1706528663635254,188897,L3,6
"[37, 77, 54, 100, 0.0]",-0.15946310018180646,2.434037923812866,89010,L3,6
"[63, 47, 1, 5, 0.0]",-1.3071657070371125,2.0248289108276367,55156,L3,6
"[72, 100, 1, 100, 0.0]",-1.2837923904083892,2.3659441471099854,171013,L3,6
"[48, 72, 13, 95, 0.5]",-0.3278413876015922,2.154675006866455,86281,L3,6
"[30, 73, 24, 100, 1.0]",-0.058402592202167786,2.0458931922912598,77206,L3,6
"[1, 1, 100, 67, 0.0]",-0.40515077904356445,3.8880200386047363,38,L3,6
"[59, 83, 38, 100, 0.0]",-1.2837928811393662,1.9918999671936035,117400,L3,6
"[100, 100, 72, 47, 0.0]",-1.2837927545627013,2.150002956390381,201701,L3,6
"[100, 100, 39, 5, 0.0]",-1.2703592577893086,2.0371410846710205,201701,L3,6
"[100, 100, 100, 5, 0.0]",-1.2704189951658822,2.0739030838012695,201701,L3,6
"[56, 24, 100, 58, 0.0]",-0.863681588287863,3.5419230461120605,25497,L3,6
"[32, 54, 14, 100, 1.0]",-1.2837928273941284,2.1669490337371826,46743,L3,6
"[23, 66, 46, 100, 0.0]",-0.06589001976009896,2.2383430004119873,61239,L3,6
"[39, 18, 1, 73, 0.0]",-0.14401887169315067,2.5967161655426025,13255,L3,6
"[91, 43, 41, 70, 0.3]",-1.282597101808907,2.5183141231536865,72080,L3,6
"[29, 79, 1, 100, 0.0]",-0.15096773633945113,2.078575849533081,88364,L3,6
"[30, 45, 51, 93, 0.0]",-0.44877701462430214,2.8938019275665283,33946,L3,6
