config,err,inf_time,size,arch,link
"[23, 53, 57, 0.0]",-0.33040105417546184,1.4758110046386719,18678,L2,5
"[37, 23, 70, 0.2]",-0.4161927536811822,1.791443109512329,11408,L2,5
"[8, 94, 59, 0.1]",-0.3488401917207461,1.4660351276397705,39143,L2,5
"[73, 17, 29, 0.3]",-0.5034085875356699,1.5703880786895752,28106,L2,5
"[70, 47, 25, 0.4]",-0.25940529394354084,1.5844228267669678,42392,L2,5
"[13, 92, 59, 0.5]",-0.24287791439903383,1.4891560077667236,39881,L2,5
"[32, 5, 76, 0.5]",-1.3085691955480445,1.6868112087249756,5118,L2,5
"[77, 79, 12, 0.7]",-0.4562676925915854,1.754685878753662,74024,L2,5
"[6, 69, 47, 0.5]",-0.5123073086415243,1.5484659671783447,21238,L2,5
"[66, 69, 30, 0.0]",-9.446575909690978,1.3747830390930176,55558,L2,5
"[77, 82, 18, 0.6]",-0.3643376637477954,1.6653621196746826,76895,L2,5
"[35, 24, 24, 0.3]",-0.3010319928777203,1.6937520503997803,10965,L2,5
"[98, 22, 39, 0.0]",-1.3470805390405634,1.3479111194610596,49871,L2,5
"[62, 24, 76, 0.6]",-0.43953667193317714,1.461230993270874,24249,L2,5
"[43, 71, 97, 0.8]",-0.30586842493607913,1.5778841972351074,40472,L2,5
"[44, 96, 10, 0.7]",-0.48143952533380574,1.6410741806030273,62337,L2,5
"[68, 53, 59, 0.7]",-0.2887139284488777,1.537438154220581,44958,L2,5
"[69, 80, 16, 0.2]",-0.4248185188057629,1.5279581546783447,67677,L2,5
"[72, 40, 37, 0.2]",-6.609973003396032,1.7089250087738037,39433,L2,5
"[11, 41, 60, 0.7]",-0.5128560099935987,2.151859998703003,9306,L2,5
"[70, 45, 13, 0.7]",-1.288777434295952,2.4895811080932617,41086,L2,5
"[100, 100, 84, 0.0]",-1.2730755291327318,1.4690890312194824,121301,L2,5
"[70, 96, 10, 0.0]",-0.8788253759591546,1.44862699508667,84385,L2,5
"[100, 1, 100, 1.0]",-0.25707044620825814,1.4680960178375244,41210,L2,5
"[100, 48, 100, 0.8]",-1.3095807464173055,1.569936990737915,69457,L2,5
"[1, 46, 5, 1.0]",-0.6594684242107408,1.4987938404083252,8891,L2,5
"[1, 100, 5, 0.0]",-0.5425615765907775,1.3142898082733154,40913,L2,5
"[1, 1, 5, 0.0]",-0.5511915676085395,1.338871955871582,26,L2,5
"[1, 100, 100, 0.0]",-0.38936477996327296,1.3531608581542969,40913,L2,5
"[1, 49, 100, 1.0]",-1.5507356350179038,1.3253161907196045,10058,L2,5
