config,err,inf_time,size,arch,link
"[23, 53, 57, 0.0]",-1.272209435237852,1.843256950378418,18678,L2,8
"[37, 23, 70, 0.2]",-0.1972870692895231,1.6765408515930176,11408,L2,8
"[8, 94, 59, 0.1]",-0.536622560243237,1.5086400508880615,39143,L2,8
"[73, 17, 29, 0.3]",-1.4734828359049745,1.5296199321746826,28106,L2,8
"[70, 47, 25, 0.4]",-0.4484095170418404,1.5969719886779785,42392,L2,8
"[13, 92, 59, 0.5]",-0.5975799960921719,1.4888579845428467,39881,L2,8
"[32, 5, 76, 0.5]",-1.4605497592508307,1.846386194229126,5118,L2,8
"[77, 79, 12, 0.7]",-1.4720639386773788,1.6676380634307861,74024,L2,8
"[6, 69, 47, 0.5]",-0.8916698016356701,1.4363150596618652,21238,L2,8
"[66, 69, 30, 0.0]",-1.4908954515575763,1.416996955871582,55558,L2,8
"[77, 82, 18, 0.6]",-1.473268184445836,1.7009658813476562,76895,L2,8
"[35, 24, 24, 0.3]",-0.5038119871986051,1.653735876083374,10965,L2,8
"[98, 22, 39, 0.0]",-1.453541003677314,1.4349839687347412,49871,L2,8
"[62, 24, 76, 0.6]",-1.4699505594438547,1.4404950141906738,24249,L2,8
"[43, 71, 97, 0.8]",-1.4731221720700358,1.5884721279144287,40472,L2,8
"[44, 96, 10, 0.7]",-0.2988237840630565,1.722153902053833,62337,L2,8
"[68, 53, 59, 0.7]",-1.472815635808222,1.7253999710083008,44958,L2,8
"[69, 80, 16, 0.2]",-0.18744379947350684,1.512882947921753,67677,L2,8
"[72, 40, 37, 0.2]",-1.4712131980289822,1.5626239776611328,39433,L2,8
"[11, 41, 60, 0.7]",-1.4663700028761009,1.4748649597167969,9306,L2,8
"[58, 81, 11, 0.0]",-1.4675586693864844,1.5521600246429443,59362,L2,8
"[100, 100, 100, 0.0]",-1.4734803723377488,1.5311338901519775,121301,L2,8
"[1, 100, 5, 0.6]",-0.9323058113231524,1.4789299964904785,40913,L2,8
"[1, 1, 5, 1.0]",-0.6357993159836646,1.4748260974884033,26,L2,8
"[100, 1, 100, 0.0]",-1.4734840003512477,1.4390668869018555,41210,L2,8
"[1, 100, 100, 1.0]",-1.3278335360663571,1.4063959121704102,40913,L2,8
"[1, 27, 100, 0.0]",-5.486639890554033,1.348189115524292,3172,L2,8
"[1, 47, 5, 0.0]",-1.3141782865700546,1.3579020500183105,9272,L2,8
"[100, 1, 5, 1.0]",-1.473477267667606,1.4803690910339355,41210,L2,8
"[100, 52, 100, 1.0]",-0.19276316469007237,1.57818603515625,72677,L2,8
"[43, 100, 37, 1.0]",-0.6308997547881191,1.5842649936676025,65441,L2,8
"[42, 1, 5, 1.0]",-1.4732762128091472,1.5805799961090088,7570,L2,8
"[1, 1, 41, 0.0]",-0.5086737363474098,1.339750051498413,26,L2,8
"[32, 27, 46, 0.5]",-0.7025531956554654,2.488507032394409,10860,L2,8
"[67, 42, 5, 1.0]",-0.806854534860576,1.4746379852294922,37015,L2,8
"[30, 83, 45, 0.5]",-1.4713468121907491,1.76055908203125,41772,L2,8
"[68, 100, 70, 1.0]",-0.23131941909794104,1.5920958518981934,86741,L2,8
"[100, 100, 58, 0.0]",-1.4565911307775543,1.4712700843811035,121301,L2,8
"[33, 57, 34, 0.4]",-0.38511801716462996,1.5178580284118652,25426,L2,8
"[30, 100, 5, 1.0]",-4.236749430280082,1.4707489013671875,56341,L2,8
"[55, 100, 16, 1.0]",-0.675385890577157,1.4600028991699219,75041,L2,8
"[59, 100, 100, 1.0]",-1.4734847296518858,1.4329149723052979,78497,L2,8
"[100, 57, 75, 0.0]",-1.4734847561080422,1.5815799236297607,76882,L2,8
"[100, 46, 5, 0.0]",-0.49715538228682743,1.4809699058532715,67895,L2,8
"[76, 46, 100, 1.0]",-1.439273613126268,1.6086349487304688,46391,L2,8
"[14, 40, 82, 0.9]",-0.8443473851178037,1.9325189590454102,9737,L2,8
"[100, 1, 64, 0.0]",-1.473484247145331,1.3691749572753906,41210,L2,8
"[45, 100, 67, 0.0]",-0.692744467351572,1.652522087097168,66961,L2,8
"[35, 44, 5, 1.0]",-3.587727176287846,1.5513010025024414,19305,L2,8
"[37, 1, 40, 0.0]",-1.4734838090611382,1.3230140209197998,5930,L2,8
"[1, 71, 81, 0.0]",-0.8498140764505213,1.3781840801239014,20816,L2,8
"[58, 1, 100, 1.0]",-1.4734832615638132,1.4204490184783936,14162,L2,8
"[36, 39, 79, 1.0]",-0.8716996073494057,1.3274240493774414,17368,L2,8
"[1, 24, 29, 1.0]",-0.8396793704582891,1.4058520793914795,2533,L2,8
"[1, 100, 37, 1.0]",-0.5780412365201174,1.35471510887146,40913,L2,8
"[65, 100, 51, 0.0]",-1.473484470807811,1.670522928237915,83921,L2,8
"[100, 33, 100, 0.0]",-1.4734844303945136,1.5664010047912598,58522,L2,8
"[100, 68, 100, 1.0]",-0.2195645076504141,1.4833488464355469,86837,L2,8
"[100, 100, 5, 0.0]",-6.283201120905455,1.7559599876403809,121301,L2,8
"[1, 73, 23, 0.0]",-28.698960824811465,1.5145750045776367,21986,L2,8
"[6, 69, 58, 1.0]",-3.6825471704800674,1.3861258029937744,21238,L2,8
"[1, 27, 5, 0.0]",-0.4395761624158494,1.8933899402618408,3172,L2,8
"[1, 68, 100, 1.0]",-1.526602531470639,1.3985438346862793,19121,L2,8
"[31, 74, 71, 0.9]",-0.5569496940618837,1.5062079429626465,35543,L2,8
"[1, 1, 67, 1.0]",-0.4829154128173019,1.609316110610962,26,L2,8
"[54, 44, 73, 0.6]",-1.4715983113290878,1.6402499675750732,29565,L2,8
"[100, 58, 37, 1.0]",-0.2746907329901293,1.5943830013275146,77747,L2,8
"[29, 100, 100, 0.0]",-0.40510449218946304,1.5226409435272217,55697,L2,8
"[66, 1, 57, 1.0]",-1.4734841406174815,1.453111171722412,18226,L2,8
"[55, 76, 73, 0.7]",-1.472488032021212,1.6438360214233398,52745,L2,8
"[21, 100, 77, 0.0]",-0.2879281958869824,1.454573154449463,50833,L2,8
"[71, 1, 5, 1.0]",-1.4702204169241564,1.4965651035308838,21026,L2,8
"[78, 76, 100, 0.0]",-1.473399707023657,1.4512560367584229,72157,L2,8
"[96, 93, 35, 0.5]",-0.2806666365908712,2.007572889328003,108406,L2,8
"[98, 19, 78, 0.8]",-1.4727181009510362,1.6418828964233398,48188,L2,8
"[100, 76, 47, 1.0]",-1.473484479114593,1.4966192245483398,94685,L2,8
"[44, 47, 42, 1.0]",-0.13037819405013537,1.3616459369659424,25440,L2,8
"[43, 30, 100, 0.0]",-0.9248496172695977,1.402527093887329,16651,L2,8
"[100, 26, 5, 1.0]",-1.470137256516178,1.4882140159606934,54035,L2,8
"[17, 1, 21, 1.0]",-1.3497983653327523,1.3758270740509033,1370,L2,8
"[1, 19, 55, 0.0]",-1.023697492319529,2.5799829959869385,1628,L2,8
"[15, 100, 48, 1.0]",-0.9138691448356298,1.533372163772583,47521,L2,8
"[100, 59, 19, 1.0]",-0.14162232039630795,1.5308921337127686,78620,L2,8
"[26, 1, 100, 1.0]",-1.4734847447395087,1.3448150157928467,3026,L2,8
"[100, 43, 27, 1.0]",-1.4734705071851824,1.4287850856781006,65612,L2,8
"[82, 56, 5, 0.0]",-0.26574167553496225,1.8095920085906982,58745,L2,8
"[41, 63, 48, 0.0]",-1.2966434172636738,1.6132450103759766,33576,L2,8
"[1, 100, 76, 0.0]",-0.8659693462827839,1.333773136138916,40913,L2,8
"[22, 82, 89, 0.0]",-0.14072446650185616,1.3973431587219238,36635,L2,8
"[83, 100, 80, 0.0]",-1.473484141969887,1.5711321830749512,101921,L2,8
"[100, 1, 34, 1.0]",-1.4734824329933214,1.381904125213623,41210,L2,8
"[50, 34, 31, 0.0]",-0.6243176784400041,1.385317087173462,21995,L2,8
