config,err,inf_time,size,arch,link
"[23, 53, 56, 6, 39, 0.2]",-1.4734848421395614,3.2537600994110107,44783,L4,8
"[69, 17, 8, 94, 59, 0.1]",-1.4734817972989538,2.8293628692626953,65167,L4,8
"[73, 17, 26, 30, 71, 0.5]",-1.4731819640434927,2.9916999340057373,39535,L4,8
"[22, 45, 13, 92, 59, 0.5]",-1.4748612698073196,2.8329761028289795,56521,L4,8
"[32, 5, 75, 55, 78, 0.8]",-1.4719461912233063,2.849134922027588,58288,L4,8
"[8, 66, 6, 69, 47, 0.5]",-1.4693118037069328,2.9572091102600098,42918,L4,8
"[66, 69, 27, 2, 78, 0.8]",-1.4732676799681197,3.229259967803955,66207,L4,8
"[15, 58, 35, 24, 24, 0.3]",-1.4721848215277262,2.859428882598877,37133,L4,8
"[98, 22, 36, 3, 64, 0.2]",-1.473484345942936,3.164551019668579,58828,L4,8
"[74, 59, 43, 71, 97, 0.8]",-1.4716084085680405,2.799262046813965,104568,L4,8
"[44, 96, 6, 74, 69, 0.5]",-1.4703307989531087,2.772019147872925,88763,L4,8
"[57, 73, 69, 80, 16, 0.2]",-1.4648599780311802,2.922560214996338,139253,L4,8
"[72, 40, 35, 16, 15, 0.4]",-1.4729211031842602,2.7257800102233887,53377,L4,8
"[59, 74, 87, 97, 48, 0.4]",-1.4733171712665116,2.777621030807495,182314,L4,8
"[31, 83, 91, 77, 11, 0.6]",-1.4616607411468756,2.9313769340515137,158102,L4,8
"[94, 11, 98, 36, 67, 0.1]",-1.4734847519219822,2.761162042617798,103357,L4,8
"[96, 65, 94, 91, 47, 0.9]",-1.4715383153856585,2.7739691734313965,207708,L4,8
"[71, 27, 19, 66, 83, 0.9]",-1.472322253146972,3.909809112548828,57767,L4,8
"[63, 17, 29, 59, 16, 0.3]",-1.4730217648498534,2.8183529376983643,48404,L4,8
"[1, 90, 93, 35, 45, 0.7]",-1.4736195198558188,3.4273781776428223,119676,L4,8
"[46, 17, 96, 80, 5, 0.8]",-1.4462426241561692,4.080276012420654,113681,L4,8
"[92, 66, 1, 12, 65, 0.2]",-1.473542988778222,3.1012020111083984,77525,L4,8
"[9, 44, 45, 8, 90, 0.3]",-1.472357661954502,2.557922124862671,27837,L4,8
"[3, 14, 78, 81, 30, 0.1]",-0.5995231774275454,4.0313498973846436,82006,L4,8
"[45, 97, 67, 8, 97, 0.5]",-1.4733322911673605,5.001128911972046,110605,L4,8
"[56, 85, 91, 3, 14, 0.4]",-1.4734856766523994,4.713139057159424,126844,L4,8
"[75, 65, 9, 99, 26, 0.8]",-1.4591128255396144,7.874814033508301,105724,L4,8
"[14, 36, 53, 94, 90, 0.7]",-1.4714371448618395,4.3822290897369385,83063,L4,8
"[15, 34, 52, 97, 28, 0.1]",-1.4734704695128564,3.8390510082244873,84214,L4,8
"[78, 84, 98, 42, 96, 0.3]",-1.4734242536834097,5.220299959182739,175195,L4,8
"[1, 1, 1, 1, 5, 0.0]",-1.460183638353234,2.3694279193878174,50,L4,8
"[1, 1, 100, 75, 23, 0.0]",-1.473491860462228,2.3797390460968018,93700,L4,8
"[100, 100, 1, 100, 100, 1.0]",-1.4734840822036783,5.5300071239471436,162509,L4,8
"[1, 1, 59, 78, 38, 1.0]",-1.473484819585166,2.740370035171509,57555,L4,8
"[1, 31, 87, 86, 35, 0.0]",-1.473484729597734,2.4841458797454834,105459,L4,8
"[1, 100, 1, 1, 5, 0.0]",-1.4639292935543906,2.5046629905700684,41234,L4,8
"[1, 14, 71, 82, 5, 0.0]",-1.4500600249331805,3.221785068511963,75927,L4,8
"[100, 1, 100, 100, 100, 0.0]",-1.4734847970307712,6.910629987716675,162509,L4,8
"[1, 100, 1, 100, 100, -0.0]",-1.4734046631859106,3.2483439445495605,82121,L4,8
"[100, 1, 100, 1, 5, 0.0]",-1.4734644612641181,3.459876775741577,82418,L4,8
"[100, 100, 1, 1, 5, 1.0]",-1.4698717759958675,3.2778160572052,121622,L4,8
"[100, 100, 100, 100, 5, 0.0]",-1.4734774885206254,7.284192085266113,282101,L4,8
"[100, 1, 1, 1, 100, 1.0]",-1.4734848421395614,2.5478429794311523,41234,L4,8
"[1, 100, 1, 1, 100, 0.0]",-1.4734549127246583,3.588747024536133,41234,L4,8
"[1, 1, 100, 1, 100, 0.0]",-1.4734848456374465,2.648453950881958,41234,L4,8
"[100, 1, 1, 100, 5, 0.0]",-1.4505936703410638,3.2543561458587646,82121,L4,8
"[1, 100, 1, 100, 5, 0.0]",-1.4512469021892196,3.0681028366088867,82121,L4,8
"[100, 100, 100, 100, 100, 0.0]",-1.4734847547667367,5.9770379066467285,282101,L4,8
"[100, 1, 1, 1, 5, 1.0]",-1.4732332737263805,2.512566089630127,41234,L4,8
"[100, 100, 100, 1, 100, 1.0]",-1.4734848651303154,5.557039022445679,202010,L4,8
"[1, 1, 1, 1, 100, 0.0]",-0.5181273425189739,3.5095980167388916,50,L4,8
"[1, 100, 100, 1, 5, 0.0]",-1.473480961649519,3.241953134536743,121622,L4,8
"[1, 100, 100, 100, 100, 1.0]",-1.473484852691111,5.722096920013428,201713,L4,8
"[1, 1, 1, 43, 100, 0.0]",-171.44463659629275,2.421833038330078,7820,L4,8
"[1, 1, 100, 1, 5, 1.0]",-1.4734848452656424,2.8973660469055176,41234,L4,8
"[96, 19, 61, 50, 89, 0.0]",-1.473484819585166,5.214407920837402,88663,L4,8
"[100, 1, 100, 100, 5, 1.0]",-1.4429094794312276,5.340964078903198,162509,L4,8
"[90, 7, 2, 54, 91, 0.7]",-1.472178686657358,3.4581210613250732,48311,L4,8
"[1, 1, 100, 100, 100, 1.0]",-1.4734848421395614,4.2519590854644775,121325,L4,8
"[100, 100, 1, 67, 5, 1.0]",-1.4536129519475651,2.9496049880981445,140168,L4,8
