config,err,inf_time,size,arch,link
"[23, 53, 57, 0.0]",-0.27700162461342465,1.4789772033691406,18678,L2,1
"[37, 23, 70, 0.2]",-0.13579423678920036,4.545026063919067,11408,L2,1
"[8, 94, 59, 0.1]",-0.15405411652649087,1.692307949066162,39143,L2,1
"[73, 17, 29, 0.3]",-0.7421617796245226,1.503465175628662,28106,L2,1
"[70, 47, 25, 0.4]",-0.7497721946390612,1.5674889087677002,42392,L2,1
"[13, 92, 59, 0.5]",-0.19264831592586018,1.5707759857177734,39881,L2,1
"[32, 5, 76, 0.5]",-0.26820496993534926,1.8939368724822998,5118,L2,1
"[77, 79, 12, 0.7]",-0.7496567402111871,1.7494120597839355,74024,L2,1
"[6, 69, 47, 0.5]",-0.24239507649827008,1.499852180480957,21238,L2,1
"[66, 69, 30, 0.0]",-0.09742201465580919,1.4667949676513672,55558,L2,1
"[77, 82, 18, 0.6]",-0.7424612705963903,1.722675085067749,76895,L2,1
"[35, 24, 24, 0.3]",-0.13340166339411208,1.9364290237426758,10965,L2,1
"[98, 22, 39, 0.0]",-0.47072655198817975,1.5092530250549316,49871,L2,1
"[62, 24, 76, 0.6]",-0.7421992297964078,1.5642390251159668,24249,L2,1
"[43, 71, 97, 0.8]",-0.20293220667224635,1.8655290603637695,40472,L2,1
"[44, 96, 10, 0.7]",-0.31492240711860386,1.8088090419769287,62337,L2,1
"[68, 53, 59, 0.7]",-0.7422998733696738,1.705089807510376,44958,L2,1
"[69, 80, 16, 0.2]",-0.7451607964931437,1.6362309455871582,67677,L2,1
"[72, 40, 37, 0.2]",-0.7421686540242154,1.602668046951294,39433,L2,1
"[11, 41, 60, 0.7]",-0.2361660104204699,1.6782779693603516,9306,L2,1
"[1, 1, 5, 0.0]",-0.2689864403843158,1.4493529796600342,26,L2,1
"[100, 100, 100, 0.0]",-0.2365858713405303,1.5346639156341553,121301,L2,1
"[1, 100, 100, 0.0]",-0.25605338792237775,1.446619987487793,40913,L2,1
"[1, 100, 5, -0.0]",-0.2893315497295859,1.4224441051483154,40913,L2,1
"[1, 25, 100, 0.0]",-0.2612239473458461,2.8133819103240967,2738,L2,1
"[54, 74, 39, 0.0]",-0.11272886909198745,1.5364990234375,50355,L2,1
"[1, 47, 5, 1.0]",-0.2821106518521857,1.368499994277954,9272,L2,1
"[100, 1, 100, 1.0]",-0.7421617796245226,1.457460880279541,41210,L2,1
"[1, 1, 49, 0.0]",-0.20139280077728294,1.3875489234924316,26,L2,1
"[53, 100, 100, 1.0]",-0.26803958914378717,1.5642430782318115,73361,L2,1
"[100, 100, 59, 0.0]",-0.7814251423085852,1.4910740852355957,121301,L2,1
"[36, 1, 5, 1.0]",-0.7397124095181756,1.3838930130004883,5626,L2,1
"[26, 25, 42, 0.0]",-0.5232755732636308,2.141371965408325,8138,L2,1
"[1, 62, 100, 1.0]",-0.09575577940999137,1.3428239822387695,15947,L2,1
"[26, 38, 87, 0.0]",-0.1351436970731336,2.347123146057129,12831,L2,1
"[31, 41, 11, 0.0]",-0.17033260967374533,1.5301029682159424,16106,L2,1
"[1, 64, 77, 0.0]",-0.2607221585391466,1.4732880592346191,16973,L2,1
"[1, 100, 39, 1.0]",-0.7959928560233261,1.3803598880767822,40913,L2,1
"[1, 100, 73, 0.0]",-0.35428316030592055,1.3702750205993652,40913,L2,1
"[100, 1, 5, 1.0]",-0.7421636151793645,1.465198040008545,41210,L2,1
"[1, 1, 81, 1.0]",-0.20276819290997547,1.565263032913208,26,L2,1
"[100, 64, 100, 0.0]",-0.18852944313775177,1.493934154510498,83105,L2,1
"[22, 60, 100, 0.0]",-0.2679616086927023,1.4659759998321533,22093,L2,1
"[33, 18, 100, 0.0]",-0.20308364383308616,1.385673999786377,8383,L2,1
"[24, 26, 77, 1.0]",-0.16479327527884322,1.3233270645141602,7827,L2,1
"[24, 73, 5, 1.0]",-0.17409550449838487,1.412531852722168,31186,L2,1
"[72, 75, 100, 0.0]",-0.21069028751984845,1.4955449104309082,65788,L2,1
"[43, 63, 28, 0.0]",-0.2179278911410137,1.5746290683746338,34768,L2,1
"[63, 70, 36, 0.0]",-0.3556062336435678,1.5044310092926025,53971,L2,1
"[44, 82, 41, 0.0]",-0.07537332818244658,1.527390956878662,49835,L2,1
"[48, 100, 64, 0.0]",-0.7422257159091642,1.4892640113830566,69301,L2,1
"[47, 76, 33, 0.0]",-0.8369576650739715,1.4870328903198242,46985,L2,1
"[50, 78, 49, 0.0]",-0.09665958820700138,1.473534107208252,50727,L2,1
