config,err,inf_time,size,arch,link
"[23, 53, 56, 9, 0.4]",-1.1065409626475018,3.2192180156707764,41362,L3,4
"[23, 69, 17, 12, 0.9]",-0.9107976841631442,2.0192928314208984,66402,L3,4
"[57, 9, 73, 20, 0.3]",-1.1058157037226113,2.7430579662323,16558,L3,4
"[30, 70, 47, 25, 0.4]",-0.60979788826333,2.004823923110962,71671,L3,4
"[13, 92, 57, 50, 0.3]",-0.2825704273173959,1.9737818241119385,107961,L3,4
"[5, 75, 55, 78, 0.8]",-1.1056772213329062,2.075671911239624,69816,L3,4
"[8, 66, 6, 70, 0.4]",-0.26406982030021425,2.0616769790649414,55299,L3,4
"[47, 66, 69, 30, 0.0]",-1.1070237818372008,1.9779338836669922,74487,L3,4
"[77, 82, 15, 60, 0.3]",-0.3913760169374345,2.13641095161438,131015,L3,4
"[24, 21, 28, 98, 0.2]",-0.20530392288005783,2.2839930057525635,9994,L3,4
"[36, 3, 62, 27, 0.7]",-0.7612415944839412,2.8208019733428955,6040,L3,4
"[59, 43, 71, 97, 0.8]",-1.103968992246461,2.0525100231170654,47120,L3,4
"[44, 96, 6, 75, 0.7]",-1.0974621399804152,2.0557401180267334,136449,L3,4
"[53, 57, 73, 70, 0.8]",-1.106363764278929,2.0395290851593018,63246,L3,4
"[12, 21, 72, 42, 0.3]",-0.47438265023593584,2.227154016494751,7162,L3,4
"[16, 11, 41, 60, 0.7]",-0.9328624419531231,2.52949595451355,3408,L3,4
"[87, 97, 46, 43, 0.3]",-0.25126127588318825,2.466212034225464,178510,L3,4
"[83, 91, 77, 11, 0.6]",-1.0850622753661225,2.037447929382324,158624,L3,4
"[94, 11, 98, 39, 0.7]",-1.1055084149757402,2.537432909011841,41784,L3,4
"[13, 96, 65, 94, 0.9]",-1.0950724409319657,2.093909978866577,117229,L3,4
"[1, 20, 1, 100, 0.0]",-0.9526048804051528,2.5882349014282227,5073,L3,4
"[100, 1, 1, 100, 0.0]",-1.1070172881830842,2.0641229152679443,41222,L3,4
"[93, 53, 35, 78, 0.6]",-1.0989975884521948,2.0480430126190186,89242,L3,4
"[100, 100, 1, 25, 0.0]",-1.1069542549904228,2.0126521587371826,201701,L3,4
"[1, 1, 100, 29, 0.0]",-0.39098590030022984,2.0266849994659424,38,L3,4
"[1, 1, 100, 100, 0.0]",-0.3671593711686321,1.922497034072876,38,L3,4
"[1, 100, 58, 24, 0.0]",-1.0227253604657704,1.8582580089569092,121313,L3,4
"[100, 100, 100, 100, 0.0]",-1.1070237580507583,1.9961779117584229,201701,L3,4
"[67, 93, 58, 84, 0.7]",-1.0959687318874312,2.0312769412994385,148042,L3,4
"[100, 1, 1, 5, 1.0]",-1.069700781100262,1.934790849685669,41222,L3,4
"[34, 1, 44, 100, 0.0]",-0.2655901609247332,2.140996217727661,5054,L3,4
"[40, 100, 44, 44, 0.0]",-0.21409670474516113,1.961935043334961,143621,L3,4
"[1, 1, 1, 5, 0.0]",-1.0795089511937883,2.6749470233917236,38,L3,4
"[45, 1, 100, 100, 1.0]",-0.04131618749973337,1.886296033859253,8662,L3,4
"[100, 1, 100, 100, 0.0]",-1.1070071791930727,3.164736032485962,41222,L3,4
"[31, 1, 87, 100, 1.0]",-0.07856920534301508,2.3580100536346436,4238,L3,4
"[31, 1, 100, 73, 1.0]",-0.09214239642129807,2.416836977005005,4238,L3,4
"[32, 1, 100, 100, 0.0]",-0.6750752605612649,1.9895908832550049,4502,L3,4
"[51, 1, 84, 97, 1.0]",-1.107023615332129,2.1982998847961426,11038,L3,4
"[13, 1, 70, 100, 1.0]",-0.05658846089343024,2.258821964263916,854,L3,4
