config,err,inf_time,size,arch,link
"[23, 53, 56, 6, 39, 0.2]",-0.7375585251622568,2.7637948989868164,44783,L4,2
"[69, 17, 8, 94, 59, 0.1]",-0.7375914950484769,3.258538007736206,65167,L4,2
"[73, 17, 26, 30, 71, 0.5]",-0.7375396444140616,2.574007987976074,39535,L4,2
"[22, 45, 13, 92, 59, 0.5]",-0.7380772962158209,3.1253151893615723,56521,L4,2
"[32, 5, 75, 55, 78, 0.8]",-0.7376611829730766,3.5802319049835205,58288,L4,2
"[8, 66, 6, 69, 47, 0.5]",-0.7400045471861981,2.8297390937805176,42918,L4,2
"[66, 69, 27, 2, 78, 0.8]",-0.7375790245350272,2.7718241214752197,66207,L4,2
"[15, 58, 35, 24, 24, 0.3]",-0.7375748277263173,2.7682809829711914,37133,L4,2
"[98, 22, 36, 3, 64, 0.2]",-0.7375586416263934,2.710191011428833,58828,L4,2
"[74, 59, 43, 71, 97, 0.8]",-0.7375030857983655,4.887189865112305,104568,L4,2
"[44, 96, 6, 74, 69, 0.5]",-0.739244814646647,3.1936240196228027,88763,L4,2
"[57, 73, 69, 80, 16, 0.2]",-0.737555352976731,6.85086989402771,139253,L4,2
"[72, 40, 35, 16, 15, 0.4]",-0.7376533762425729,3.0126101970672607,53377,L4,2
"[59, 74, 87, 97, 48, 0.4]",-0.738119559946436,6.580120086669922,182314,L4,2
"[31, 83, 91, 77, 11, 0.6]",-0.7382478472228053,2.554497003555298,158102,L4,2
"[94, 11, 98, 36, 67, 0.1]",-0.7375586358030963,3.0435121059417725,103357,L4,2
"[96, 65, 94, 91, 47, 0.9]",-0.7374217915049595,3.5367379188537598,207708,L4,2
"[71, 27, 19, 66, 83, 0.9]",-0.7379750650516899,2.778377056121826,57767,L4,2
"[63, 17, 29, 59, 16, 0.3]",-0.7406950297088088,4.107329845428467,48404,L4,2
"[1, 90, 93, 35, 45, 0.7]",-0.7384957453674427,2.4635980129241943,119676,L4,2
"[92, 82, 24, 47, 34, 0.4]",-0.7375936465324,3.1273179054260254,115848,L4,2
"[63, 87, 46, 20, 8, 0.5]",-0.7382180558582253,2.9584949016571045,98965,L4,2
"[79, 2, 99, 91, 20, 0.6]",-0.7376320262350623,2.949692964553833,136260,L4,2
"[25, 92, 48, 15, 98, 0.2]",-0.7375663016436533,2.7872250080108643,77052,L4,2
"[7, 40, 16, 10, 73, 0.2]",-0.7375832594773535,2.9057719707489014,12671,L4,2
"[7, 12, 57, 69, 18, 0.8]",-0.7374783116908139,4.984417915344238,52294,L4,2
"[3, 20, 89, 43, 35, 0.8]",-0.7376352397815052,2.677241802215576,64060,L4,2
"[17, 4, 99, 90, 20, 0.7]",-0.737808212499392,3.722705125808716,111319,L4,2
"[78, 83, 100, 19, 51, 0.2]",-0.7375586649196766,2.646430015563965,161484,L4,2
"[73, 20, 96, 32, 92, 0.3]",-0.7378328553358927,2.5645029544830322,90893,L4,2
"[99, 45, 93, 98, 91, 0.2]",-0.7375586532730161,5.785415887832642,193167,L4,2
"[10, 19, 96, 5, 87, 0.1]",-0.7375586358030963,2.6561920642852783,49350,L4,2
"[67, 6, 48, 92, 92, 0.2]",-0.7375589852177291,2.6569271087646484,82809,L4,2
"[3, 100, 25, 10, 34, 0.2]",-0.737566435736836,3.132554054260254,55711,L4,2
"[96, 46, 14, 98, 100, 1.0]",-0.7375586358030963,2.3897011280059814,111755,L4,2
"[11, 6, 21, 10, 50, 0.7]",-0.7375999915527083,2.479851007461548,4647,L4,2
"[13, 93, 79, 71, 98, 0.5]",-0.7378382819944254,2.655958890914917,138208,L4,2
"[25, 20, 95, 26, 9, 0.0]",-0.7413803183257486,2.523961067199707,63175,L4,2
"[22, 2, 14, 76, 89, 0.9]",-0.737787048095725,3.003221035003662,31005,L4,2
"[94, 88, 54, 9, 100, 0.8]",-0.7375513582959434,5.113476037979126,133714,L4,2
"[26, 31, 4, 98, 22, 0.1]",-0.7408390398744806,3.220749855041504,51155,L4,2
"[2, 53, 78, 88, 81, 0.3]",-0.40023525291641093,5.141435861587524,111961,L4,2
"[5, 51, 53, 60, 85, 0.9]",-0.737934726671114,5.058064937591553,61449,L4,2
"[9, 93, 97, 91, 27, 0.3]",-0.7375600107908294,4.409664869308472,181708,L4,2
"[5, 69, 4, 30, 95, 0.0]",-0.7410994870432166,2.9339520931243896,26255,L4,2
"[21, 2, 3, 3, 20, 0.9]",-0.7377568664862091,2.502861976623535,2284,L4,2
"[47, 10, 88, 92, 98, 0.3]",-0.7375496770694452,3.0729830265045166,113081,L4,2
"[91, 1, 20, 20, 92, 0.7]",-0.7377306684423156,2.407763957977295,39285,L4,2
"[28, 7, 51, 1, 100, 0.5]",-0.688695728018201,3.059739112854004,16618,L4,2
"[11, 97, 19, 86, 19, 0.4]",-0.7375868688697356,2.7912259101867676,88307,L4,2
"[100, 89, 72, 85, 92, 0.2]",-0.7375586765663752,3.6740610599517822,208902,L4,2
"[86, 41, 24, 98, 11, 0.6]",-0.7424393781454263,2.8162081241607666,105915,L4,2
"[86, 87, 1, 81, 6, 0.7]",-0.7405154676854219,4.1763811111450195,118154,L4,2
"[74, 49, 80, 96, 96, 0.8]",-0.7374606386813237,7.668520927429199,156465,L4,2
"[86, 2, 21, 16, 6, 0.6]",-0.741059209494041,2.8303720951080322,35449,L4,2
"[100, 74, 6, 14, 20, 0.8]",-0.7379396427557616,3.015699863433838,95735,L4,2
"[42, 11, 10, 56, 55, 0.7]",-0.7381178676147053,2.918466806411743,25713,L4,2
"[24, 51, 99, 88, 57, 0.4]",-0.7375885168156601,8.40966796875,144061,L4,2
"[86, 20, 97, 40, 11, 0.4]",-0.7375735043801174,2.6413049697875977,106737,L4,2
"[64, 100, 82, 75, 30, 0.7]",-0.7379955529977762,2.758976936340332,190396,L4,2
"[94, 73, 80, 42, 15, 0.5]",-0.738054766487722,4.550857067108154,155139,L4,2
"[1, 45, 84, 100, 100, 0.0]",-0.2809156862006687,3.0770130157470703,126253,L4,2
"[8, 86, 91, 95, 84, 0.2]",-0.7375587464524375,2.535079002380371,168948,L4,2
"[6, 87, 63, 97, 57, 1.0]",-0.7375586416263934,5.372345924377441,133522,L4,2
"[70, 94, 95, 53, 83, 0.4]",-0.7377734320258671,3.40226411819458,186042,L4,2
"[8, 9, 73, 92, 64, 0.2]",-0.7375615256679771,2.7897870540618896,86385,L4,2
"[13, 10, 4, 34, 13, 0.7]",-0.740420736148219,3.3201329708099365,7319,L4,2
"[49, 71, 79, 5, 90, 0.4]",-0.7375587406238964,3.3767449855804443,93782,L4,2
"[80, 65, 10, 52, 86, 0.5]",-0.7378210164317793,3.9172959327697754,80397,L4,2
"[97, 100, 5, 89, 90, 0.4]",-0.737676195074157,4.06938910484314,153642,L4,2
"[7, 13, 89, 3, 41, 1.0]",-0.7375586299798088,2.803689956665039,39132,L4,2
"[97, 58, 83, 36, 93, 0.3]",-0.7375591308172501,3.166438102722168,139065,L4,2
"[13, 93, 79, 2, 23, 0.8]",-0.7375479834689369,2.5589261054992676,95911,L4,2
"[95, 25, 6, 7, 29, 0.4]",-0.7382815287739716,3.2002310752868652,50128,L4,2
"[23, 45, 75, 93, 82, 0.5]",-0.73776632813038,3.4667038917541504,113982,L4,2
"[82, 97, 16, 28, 86, 0.9]",-0.7375770555560492,3.3070168495178223,109757,L4,2
"[30, 3, 4, 33, 89, 1.0]",-0.7375590784007388,2.8096179962158203,9426,L4,2
"[99, 78, 48, 12, 41, 1.0]",-0.7375586358030963,2.718997001647949,122857,L4,2
"[93, 13, 55, 52, 35, 0.5]",-0.7376093212157377,2.7447309494018555,78601,L4,2
"[5, 70, 97, 59, 93, 0.9]",-0.7376421409457219,3.2046570777893066,123716,L4,2
"[65, 83, 85, 3, 21, 0.1]",-0.7375586416263934,2.938253164291382,125420,L4,2
"[59, 92, 3, 12, 48, 0.7]",-0.7377759743609889,3.0627999305725098,72265,L4,2
"[39, 64, 11, 89, 94, 0.3]",-0.7376974339599738,3.582211971282959,72410,L4,2
"[1, 28, 47, 85, 95, 0.5]",-0.737959258826074,3.322812080383301,62966,L4,2
"[1, 37, 100, 100, 100, 0.0]",-0.2990525232617409,3.7467119693756104,141485,L4,2
"[88, 20, 7, 79, 25, 0.2]",-0.7375995372789105,3.0559029579162598,68756,L4,2
"[2, 98, 26, 93, 98, 0.3]",-0.37161153527581053,2.8463611602783203,97358,L4,2
"[97, 8, 19, 84, 64, 0.5]",-0.7378129006963641,3.2413201332092285,78961,L4,2
"[97, 6, 80, 68, 75, 0.0]",-0.7375586299798088,4.243893146514893,109345,L4,2
"[86, 51, 72, 5, 8, 0.0]",-0.7376308440128465,3.4586589336395264,95702,L4,2
"[55, 2, 51, 99, 7, 0.3]",-0.7381554238288616,3.649509906768799,83916,L4,2
"[42, 69, 7, 18, 6, 0.3]",-0.7387229110620365,2.858797073364258,42351,L4,2
"[2, 28, 25, 14, 14, 0.3]",-0.7375861541146549,2.7875139713287354,11159,L4,2
"[44, 6, 83, 1, 14, 0.3]",-0.7375586358030963,3.2482969760894775,39542,L4,2
"[41, 86, 62, 37, 61, 0.4]",-0.7375598472533349,3.0621299743652344,102874,L4,2
"[4, 96, 5, 30, 16, 0.9]",-0.7382787761019158,2.8963711261749268,45271,L4,2
"[52, 11, 74, 3, 98, 0.6]",-0.7375585659242725,2.8861420154571533,40444,L4,2
"[14, 58, 74, 16, 6, 0.3]",-0.7375909831068527,2.99219012260437,63041,L4,2
"[58, 1, 74, 31, 57, 0.6]",-0.7377305647894099,2.6232528686523438,49832,L4,2
"[76, 29, 2, 6, 90, 0.2]",-0.7376218204521873,3.0000860691070557,36487,L4,2
"[64, 6, 5, 74, 88, 0.5]",-0.737768814226089,3.006155014038086,42595,L4,2
"[59, 96, 67, 5, 83, 1.0]",-0.7375586299798088,4.82944393157959,119718,L4,2
"[34, 99, 37, 3, 7, 0.3]",-0.7375639315739325,2.4699840545654297,78732,L4,2
"[4, 9, 16, 89, 43, 0.2]",-0.37480916365377936,2.9099061489105225,40090,L4,2
"[3, 42, 83, 97, 85, 0.1]",-0.3693533102148318,2.9917449951171875,119946,L4,2
"[99, 22, 37, 76, 8, 0.1]",-0.7386900659718153,2.48710298538208,94345,L4,2
"[95, 99, 50, 22, 11, 0.1]",-0.7380348773013583,3.261308193206787,150527,L4,2
"[2, 65, 6, 98, 36, 0.7]",-0.7411867867119736,3.142967939376831,60699,L4,2
"[63, 37, 80, 48, 47, 1.0]",-0.7375586358030963,2.4417290687561035,93905,L4,2
"[91, 65, 84, 79, 11, 1.0]",-0.7388108431415531,2.61454701423645,176976,L4,2
"[92, 99, 32, 80, 39, 0.0]",-0.7379167279151385,3.073227882385254,163761,L4,2
"[67, 96, 33, 88, 75, 0.6]",-0.7379292649943339,2.805962085723877,141661,L4,2
"[88, 58, 94, 4, 43, 0.9]",-0.7375875539650015,3.3121769428253174,124901,L4,2
"[2, 83, 48, 72, 6, 0.1]",-0.7400750473176604,2.6862361431121826,88849,L4,2
"[84, 2, 7, 64, 9, 1.0]",-0.745240202561857,4.293320894241333,48369,L4,2
"[7, 72, 99, 13, 37, 0.7]",-0.7375997002513474,2.7279651165008545,97294,L4,2
"[99, 10, 2, 48, 71, 0.7]",-0.7380038539450563,3.061276912689209,54341,L4,2
"[11, 54, 4, 81, 96, 1.0]",-0.7376795812871426,2.9732038974761963,43718,L4,2
"[93, 72, 9, 93, 52, 0.3]",-0.7378092992358999,3.1580309867858887,124510,L4,2
"[20, 95, 3, 79, 98, 0.1]",-0.7376612907615806,3.0152029991149902,73336,L4,2
"[12, 2, 74, 24, 94, 0.6]",-0.7375804991511189,2.688546895980835,33113,L4,2
"[72, 56, 57, 15, 99, 0.9]",-0.7376333693152467,4.307147979736328,80596,L4,2
"[51, 1, 99, 5, 49, 0.5]",-0.7375739897545017,2.9917118549346924,53126,L4,2
"[82, 4, 95, 17, 14, 0.3]",-0.7375595734762432,2.812422037124634,74646,L4,2
"[2, 3, 8, 63, 20, 0.9]",-0.7389449637373754,3.651869058609009,18696,L4,2
"[85, 85, 98, 48, 6, 0.5]",-0.7375761666259516,3.062617063522339,188121,L4,2
"[21, 18, 97, 32, 90, 0.6]",-0.7376464927420865,3.276460886001587,66493,L4,2
"[81, 9, 85, 38, 52, 1.0]",-0.7375586299798088,3.094590902328491,81355,L4,2
"[98, 33, 51, 36, 83, 0.1]",-0.7375586416263934,3.611879825592041,86673,L4,2
"[36, 90, 34, 100, 27, 0.8]",-0.7392945648507757,2.5352628231048584,122293,L4,2
"[1, 25, 100, 79, 91, 0.2]",-0.3690985888514165,3.3544681072235107,110072,L4,2
"[4, 14, 9, 88, 54, 0.1]",-0.20341496496523162,3.6826469898223877,36609,L4,2
