config,err,inf_time,size,arch,link
"[23, 53, 56, 6, 39, 0.2]",-1.2699915095575132,2.853058099746704,44783,L4,7
"[69, 17, 8, 94, 59, 0.1]",-1.2696967026147314,3.288214921951294,65167,L4,7
"[73, 17, 26, 30, 71, 0.5]",-1.2699116339443117,2.6718320846557617,39535,L4,7
"[22, 45, 13, 92, 59, 0.5]",-1.2682957642551567,3.472223997116089,56521,L4,7
"[32, 5, 75, 55, 78, 0.8]",-1.269301643191163,2.9096059799194336,58288,L4,7
"[8, 66, 6, 69, 47, 0.5]",-1.2655397119382865,3.627269983291626,42918,L4,7
"[66, 69, 27, 2, 78, 0.8]",-1.2699991253480183,2.784482955932617,66207,L4,7
"[15, 58, 35, 24, 24, 0.3]",-1.2699784090256638,2.477224111557007,37133,L4,7
"[98, 22, 36, 3, 64, 0.2]",-1.2699916258287518,2.540354013442993,58828,L4,7
"[74, 59, 43, 71, 97, 0.8]",-1.2673716349550486,3.3012239933013916,104568,L4,7
"[44, 96, 6, 74, 69, 0.5]",-1.2678788159028003,2.8694398403167725,88763,L4,7
"[57, 73, 69, 80, 16, 0.2]",-1.2699854456291795,2.6555020809173584,139253,L4,7
"[72, 40, 35, 16, 15, 0.4]",-1.2700856364660482,2.9897940158843994,53377,L4,7
"[59, 74, 87, 97, 48, 0.4]",-1.2696080026967917,3.816023111343384,182314,L4,7
"[31, 83, 91, 77, 11, 0.6]",-1.2695959100072576,3.419900894165039,158102,L4,7
"[94, 11, 98, 36, 67, 0.1]",-1.2699913928403173,2.7916500568389893,103357,L4,7
"[96, 65, 94, 91, 47, 0.9]",-1.272157661806284,3.5842249393463135,207708,L4,7
"[71, 27, 19, 66, 83, 0.9]",-1.2682092284359445,3.2155938148498535,57767,L4,7
"[63, 17, 29, 59, 16, 0.3]",-1.2689711120244087,3.2553141117095947,48404,L4,7
"[1, 90, 93, 35, 45, 0.7]",-1.2695198340692564,2.502073049545288,119676,L4,7
"[16, 67, 82, 30, 98, 0.9]",-1.269590713717518,2.7621049880981445,86455,L4,7
"[60, 10, 83, 97, 14, 0.3]",-1.2700169926132134,5.711824893951416,119254,L4,7
"[1, 22, 74, 85, 31, 0.4]",-1.269857611509006,2.5135719776153564,85322,L4,7
"[79, 65, 90, 2, 45, 0.8]",-1.265664019408506,3.090770959854126,120203,L4,7
"[15, 9, 37, 8, 88, 0.3]",-0.5101055640486681,2.9963719844818115,10357,L4,7
"[1, 1, 1, 1, 100, 0.0]",-1.269991393286286,3.157140016555786,50,L4,7
"[100, 100, 1, 31, 5, 0.0]",-1.259897640688194,3.2559030055999756,125732,L4,7
"[19, 15, 46, 24, 73, 0.0]",-1.2699916064502113,2.77044415473938,21945,L4,7
"[14, 1, 61, 1, 100, 1.0]",-1.2699916064502113,3.194709062576294,16586,L4,7
"[1, 1, 100, 100, 100, 1.0]",-1.2699916064502113,2.2978599071502686,121325,L4,7
"[1, 1, 1, 1, 5, 1.0]",-1.2238875591839475,2.67549204826355,50,L4,7
"[1, 100, 1, 1, 100, 0.0]",-1.2699892422706682,2.9649441242218018,41234,L4,7
"[1, 100, 1, 100, 5, 0.0]",-1.2588328703290006,3.113981008529663,82121,L4,7
"[100, 100, 100, 1, 100, 1.0]",-1.2699916064502113,4.761397123336792,202010,L4,7
"[27, 13, 27, 1, 94, 0.8]",-1.2701130192968373,2.8050918579101562,9810,L4,7
"[1, 1, 35, 8, 84, 0.0]",-1.2699916064502113,3.6656148433685303,6621,L4,7
"[1, 100, 100, 100, 100, 0.0]",-1.241202909079888,3.456295967102051,201713,L4,7
"[100, 100, 1, 100, 100, 0.0]",-1.2696770108500992,3.1540801525115967,162509,L4,7
"[100, 1, 1, 100, 5, 1.0]",-1.2576855580432706,4.255062818527222,82121,L4,7
"[100, 1, 100, 1, 5, 1.0]",-1.269991567693131,4.392395973205566,82418,L4,7
"[100, 1, 100, 100, 100, 0.0]",-1.2699916064502113,6.225444078445435,162509,L4,7
"[1, 100, 1, 1, 5, 1.0]",-1.2684152373376003,2.3450701236724854,41234,L4,7
"[1, 1, 1, 100, 100, 1.0]",-1.2699742434067007,3.3489811420440674,40937,L4,7
"[100, 100, 100, 1, 5, 0.0]",-1.26998837733375,5.093152046203613,202010,L4,7
"[1, 1, 1, 100, 5, 1.0]",-1.2595566234842115,2.8005409240722656,40937,L4,7
"[100, 1, 1, 1, 5, 0.0]",-1.2700679680061595,2.3232290744781494,41234,L4,7
"[1, 100, 100, 1, 5, 0.0]",-1.2699915612643928,3.0050599575042725,121622,L4,7
