config,err,inf_time,size,arch,link
"[23, 53, 57, 0.0]",-0.4002511029332422,1.446847915649414,18678,L2,6
"[37, 23, 70, 0.2]",-0.6579278749097509,2.2636849880218506,11408,L2,6
"[8, 94, 59, 0.1]",-0.18131602358211216,1.53639817237854,39143,L2,6
"[73, 17, 29, 0.3]",-0.3308965264597035,1.5980069637298584,28106,L2,6
"[70, 47, 25, 0.4]",-0.23472591486892888,2.1260251998901367,42392,L2,6
"[13, 92, 59, 0.5]",-0.15516016945500405,1.5149121284484863,39881,L2,6
"[32, 5, 76, 0.5]",-0.5483062257065602,1.8184781074523926,5118,L2,6
"[77, 79, 12, 0.7]",-1.274587136736821,1.7816569805145264,74024,L2,6
"[6, 69, 47, 0.5]",-0.4166374957434816,1.5609889030456543,21238,L2,6
"[66, 69, 30, 0.0]",-0.13129408695574496,1.3851191997528076,55558,L2,6
"[77, 82, 18, 0.6]",-0.2741068327368541,1.689892053604126,76895,L2,6
"[35, 24, 24, 0.3]",-0.4955113552732938,1.8681609630584717,10965,L2,6
"[98, 22, 39, 0.0]",-0.38568224666665185,1.495940923690796,49871,L2,6
"[62, 24, 76, 0.6]",-1.2827530767256192,1.6833322048187256,24249,L2,6
"[43, 71, 97, 0.8]",-0.30823848664889497,1.7829689979553223,40472,L2,6
"[44, 96, 10, 0.7]",-0.44319391104045414,1.5786819458007812,62337,L2,6
"[68, 53, 59, 0.7]",-0.500594907161647,1.6132941246032715,44958,L2,6
"[69, 80, 16, 0.2]",-0.11631215016178853,1.565614938735962,67677,L2,6
"[72, 40, 37, 0.2]",-0.4733843217744544,1.6474499702453613,39433,L2,6
"[11, 41, 60, 0.7]",-1.2708669401831678,1.939215898513794,9306,L2,6
"[71, 86, 25, 0.1]",-0.1274032509576879,1.541611909866333,75171,L2,6
"[100, 100, 100, 0.0]",-0.09423290215387946,1.5373449325561523,121301,L2,6
"[100, 1, 100, 1.0]",-0.3513858410064215,1.4581890106201172,41210,L2,6
"[100, 57, 100, 1.0]",-0.16384327197340226,1.4661431312561035,76882,L2,6
"[1, 1, 5, 1.0]",-1.2475469736616926,2.8336589336395264,26,L2,6
"[100, 100, 53, 0.2]",-0.1163841347066151,1.7674062252044678,121301,L2,6
"[1, 97, 100, 0.0]",-0.46232750925482585,1.3492181301116943,38522,L2,6
"[1, 100, 5, 1.0]",-0.4826144159583092,1.435873031616211,40913,L2,6
"[58, 100, 68, 0.3]",-0.15243778808509947,1.5952439308166504,77621,L2,6
"[1, 53, 5, 0.0]",-0.6025289347927955,1.3612279891967773,11726,L2,6
"[100, 1, 5, 1.0]",-0.3731174930613297,1.4004969596862793,41210,L2,6
"[1, 1, 100, 0.2]",-0.5608575538901082,1.6052401065826416,26,L2,6
"[1, 53, 100, 0.0]",-1.2910927132762364,1.4005050659179688,11726,L2,6
"[100, 73, 69, 0.0]",-0.15939116630977393,1.6195929050445557,91682,L2,6
"[68, 100, 100, 1.0]",-0.0992792195238711,1.5422759056091309,86741,L2,6
"[1, 1, 50, 0.0]",-0.4234263776062167,2.100696086883545,26,L2,6
"[100, 42, 5, 1.0]",-0.22518299473804548,1.7127039432525635,64867,L2,6
"[42, 58, 5, 0.0]",-0.4167350545920701,1.696324110031128,30883,L2,6
"[55, 1, 5, 1.0]",-1.005673832805892,1.774095058441162,12770,L2,6
"[100, 100, 25, 1.0]",-0.11032706647763434,1.6057748794555664,121301,L2,6
"[37, 100, 46, 1.0]",-0.07386799774847834,1.71964693069458,61073,L2,6
"[100, 1, 65, 1.0]",-0.5846722511644956,1.579982042312622,41210,L2,6
"[100, 71, 38, 0.0]",-0.12472963778310844,1.6871178150177002,89720,L2,6
"[33, 100, 83, 1.0]",-0.20157102021431791,1.8050780296325684,58321,L2,6
"[76, 72, 100, 0.0]",-0.2574696548873664,1.6293399333953857,66697,L2,6
"[100, 39, 77, 0.0]",-0.538850833892323,2.159291982650757,62680,L2,6
"[87, 100, 76, 1.0]",-0.24053614952857186,1.6760179996490479,106273,L2,6
"[41, 76, 52, 0.0]",-0.2525860591384041,1.6637418270111084,43001,L2,6
"[59, 79, 19, -0.0]",-0.5856123643365692,1.6228868961334229,58400,L2,6
"[51, 1, 45, 1.0]",-0.2993607148550949,1.417234182357788,11026,L2,6
"[38, 39, 100, 1.0]",-0.18618169677054733,1.3433539867401123,18288,L2,6
"[16, 100, 33, 0.0]",-0.3229854241760188,1.4525728225708008,48053,L2,6
"[16, 52, 34, 0.8]",-0.44404721433907834,1.4807779788970947,15557,L2,6
"[62, 1, 100, 0.0]",-0.2517424862355044,1.4829449653625488,16130,L2,6
"[81, 84, 50, 1.0]",-0.2320806290079506,1.5231709480285645,82753,L2,6
"[71, 35, 5, 0.0]",-0.1521241907429348,1.4656169414520264,35748,L2,6
"[100, 80, 100, 0.0]",-0.07426290384742389,1.6284120082855225,98801,L2,6
"[100, 51, 34, 1.0]",-0.07347016788450625,1.5256409645080566,71860,L2,6
"[47, 100, 100, 0.0]",-0.35694219618736345,1.4388329982757568,68513,L2,6
"[73, 46, 100, 0.0]",-0.12302070580340163,1.6106910705566406,44027,L2,6
"[25, 77, 74, 1.0]",-0.10472911577938868,1.5166819095611572,34502,L2,6
"[100, 29, 100, 1.0]",-0.16729899943484025,1.6660430431365967,55910,L2,6
"[32, 100, 63, 1.0]",-0.37484458090340533,1.4741079807281494,57653,L2,6
"[57, 100, 47, 1.0]",-0.08550038973789244,1.7434048652648926,76753,L2,6
"[80, 77, 30, 0.0]",-0.05427840116363871,1.6878089904785156,74982,L2,6
"[100, 57, 52, 1.0]",-0.07482910288234682,1.5057508945465088,76882,L2,6
"[35, 1, 100, 1.0]",-0.1473721623938501,1.7494490146636963,5330,L2,6
"[64, 79, 75, 0.0]",-0.058935092838478836,1.6713488101959229,62480,L2,6
"[82, 100, 25, 0.0]",-0.16645350537052164,1.6503801345825195,100853,L2,6
"[100, 100, 5, 0.0]",-1.3706075060485297,1.73797607421875,121301,L2,6
"[100, 100, 37, 1.0]",-15.147198622914036,1.4247329235076904,121301,L2,6
"[22, 74, 17, 0.0]",-0.3288608548784699,1.4480090141296387,30899,L2,6
"[1, 24, 24, 1.0]",-0.3893273240074286,1.6131069660186768,2533,L2,6
"[1, 73, 76, 0.0]",-0.4230295126547527,1.44187593460083,21986,L2,6
"[44, 53, 76, 0.0]",-0.10856168236026462,2.603908061981201,28926,L2,6
"[16, 24, 95, 1.0]",-0.06879443637879935,1.7087969779968262,5113,L2,6
"[59, 30, 24, 0.8]",-1.2826341850430185,1.9882628917694092,25227,L2,6
"[2, 17, 76, 0.1]",-1.3684759272940095,2.0724101066589355,1410,L2,6
"[73, 1, 59, 1.0]",-0.1498680898534102,1.535780906677246,22202,L2,6
"[45, 55, 37, 1.0]",-0.5327499896237193,1.4924750328063965,30736,L2,6
"[26, 12, 47, 0.0]",-0.18343468983720812,1.577319860458374,4797,L2,6
"[23, 38, 5, 0.0]",-0.6121497694621794,1.54756498336792,11763,L2,6
"[18, 77, 100, 1.0]",-0.17467320911302386,1.6785950660705566,31086,L2,6
"[100, 65, 15, 1.0]",-1.2837385699165385,1.528278112411499,84026,L2,6
"[100, 100, 19, 1.0]",-0.3166458854806708,1.4898550510406494,121301,L2,6
"[86, 14, 85, 0.0]",-0.2274302621718021,1.3675000667572021,35943,L2,6
"[24, 1, 24, 1.0]",-0.5280148067506147,1.469132900238037,2602,L2,6
"[82, 58, 80, 1.0]",-0.32905347665130275,1.6215391159057617,60323,L2,6
"[85, 27, 59, 1.0]",-0.25868120766795033,1.6867671012878418,41812,L2,6
"[1, 81, 24, 0.0]",-0.3573669209777775,1.4677481651306152,26986,L2,6
"[23, 48, 85, 1.0]",-1.3995911280492366,1.448822021484375,16173,L2,6
"[80, 14, 5, 0.0]",-0.5595075852461674,1.4710109233856201,31575,L2,6
"[88, 1, 39, 0.0]",-0.07955885826217336,1.6075818538665771,32042,L2,6
"[48, 30, 48, 0.0]",-0.39838453250530403,1.7085130214691162,19111,L2,6
"[72, 24, 100, 0.0]",-0.12766342685199986,1.4469778537750244,30649,L2,6
"[67, 100, 5, 1.0]",-0.43263871852644403,1.5050230026245117,85793,L2,6
"[48, 20, 100, 0.0]",-0.14914659556870283,1.457496166229248,15141,L2,6
"[100, 23, 16, 0.0]",-0.25050711575178264,1.646239995956421,52232,L2,6
"[36, 85, 31, 0.0]",-0.15902779236205591,1.6645550727844238,47038,L2,6
"[51, 9, 86, 0.4]",-0.23149014711445612,1.5735838413238525,13018,L2,6
"[57, 56, 93, 0.0]",-0.09646081760038973,1.4532878398895264,39045,L2,6
"[1, 100, 77, 0.0]",-0.40729934558297776,1.448976993560791,40913,L2,6
"[66, 56, 5, 1.0]",-0.31174193520715476,1.4432201385498047,45561,L2,6
"[45, 81, 76, 1.0]",-0.12803960137146278,1.4512968063354492,49690,L2,6
"[1, 28, 100, 0.0]",-0.3833962948251798,2.2394890785217285,3401,L2,6
