config,err,inf_time,size,arch,link
"[23, 53, 56, 9, 0.4]",-0.7423861594698002,2.0350770950317383,41362,L3,1
"[23, 69, 17, 12, 0.9]",-0.7575006372635655,2.0584380626678467,66402,L3,1
"[57, 9, 73, 20, 0.3]",-0.7450114219435859,2.0467329025268555,16558,L3,1
"[30, 70, 47, 25, 0.4]",-0.7496069180412004,2.175590991973877,71671,L3,1
"[13, 92, 57, 50, 0.3]",-0.7421624617428398,2.109266996383667,107961,L3,1
"[5, 75, 55, 78, 0.8]",-0.7450180762537661,2.2412750720977783,69816,L3,1
"[8, 66, 6, 70, 0.4]",-0.19402570040254208,2.0688881874084473,55299,L3,1
"[47, 66, 69, 30, 0.0]",-0.7425218408125349,1.9463140964508057,74487,L3,1
"[77, 82, 15, 60, 0.3]",-0.7421644911597625,2.129183053970337,131015,L3,1
"[24, 21, 28, 98, 0.2]",-0.26130020637085516,3.281991958618164,9994,L3,1
"[36, 3, 62, 27, 0.7]",-0.6286785257244659,2.852246046066284,6040,L3,1
"[59, 43, 71, 97, 0.8]",-0.7418626988401539,2.2310638427734375,47120,L3,1
"[44, 96, 6, 75, 0.7]",-0.7427307782964144,2.1437928676605225,136449,L3,1
"[53, 57, 73, 70, 0.8]",-0.7429854631876928,2.0575060844421387,63246,L3,1
"[12, 21, 72, 42, 0.3]",-0.17386434552568372,2.1387510299682617,7162,L3,1
"[16, 11, 41, 60, 0.7]",-0.49757893980253065,2.255674123764038,3408,L3,1
"[87, 97, 46, 43, 0.3]",-0.7421587930077438,2.0990359783172607,178510,L3,1
"[83, 91, 77, 11, 0.6]",-0.7456939763481093,2.0819499492645264,158624,L3,1
"[94, 11, 98, 39, 0.7]",-0.748066085526245,2.078951120376587,41784,L3,1
"[13, 96, 65, 94, 0.9]",-0.7425353004297249,2.0796079635620117,117229,L3,1
"[1, 6, 100, 42, 0.0]",-0.19827998731123742,4.375761985778809,523,L3,1
"[1, 34, 1, 100, 0.0]",-0.19363771565583815,2.0448379516601562,14327,L3,1
"[100, 1, 1, 100, -0.0]",-0.7430902344517928,1.9432108402252197,41222,L3,1
"[1, 1, 100, 100, 0.0]",-0.21929089907245555,1.8395240306854248,38,L3,1
"[1, 23, 83, 44, 0.0]",-0.7227108776209193,3.020447015762329,6660,L3,1
"[22, 1, 100, 43, 1.0]",-0.13299420295112543,1.9675259590148926,2222,L3,1
"[1, 1, 100, 5, 1.0]",-0.6860815515577102,1.988192081451416,38,L3,1
"[100, 1, 1, 5, 0.0]",-0.7476221124683106,2.5248258113861084,41222,L3,1
"[100, 100, 100, 100, 0.0]",-0.7421621410492224,1.9528729915618896,201701,L3,1
"[1, 83, 1, 100, -0.0]",-0.7421628746710255,1.9292941093444824,83760,L3,1
"[1, 1, 1, 100, 1.0]",-0.2068272781379031,1.9169669151306152,38,L3,1
"[1, 44, 1, 59, 0.0]",-0.3295659364724971,1.9734108448028564,23817,L3,1
"[100, 100, 1, 5, 1.0]",-0.7422234564771709,2.010468006134033,201701,L3,1
"[100, 1, 100, 100, 1.0]",-0.7422529338930528,1.8696820735931396,41222,L3,1
"[10, 1, 100, 59, 0.0]",-0.2639089521716579,2.967974901199341,542,L3,1
"[100, 100, 1, 100, 1.0]",-0.7421621540387825,1.9482500553131104,201701,L3,1
"[22, 18, 70, 44, 1.0]",-0.410955891607093,3.3442130088806152,7747,L3,1
"[1, 10, 57, 32, 0.0]",-0.1982582071528381,2.0432679653167725,1343,L3,1
"[1, 1, 1, 5, 0.0]",-0.5621237319986628,1.985353946685791,38,L3,1
"[1, 100, 100, 5, 0.0]",-0.8146985647750323,1.7856390476226807,121313,L3,1
"[1, 1, 45, 100, -0.0]",-0.21206446628759232,2.8413541316986084,38,L3,1
"[1, 100, 1, 38, 0.0]",-0.281714325785748,2.3026390075683594,121313,L3,1
"[37, 1, 1, 100, 0.0]",-0.7424330358108314,1.9969041347503662,5942,L3,1
"[1, 28, 29, 100, 0.0]",-0.290912051527391,2.028316020965576,9785,L3,1
"[9, 24, 61, 36, 0.0]",-0.745270445254401,2.0279769897460938,8389,L3,1
"[5, 1, 71, 40, 0.0]",-0.4109859727419603,2.0305418968200684,182,L3,1
"[1, 53, 100, 100, 0.0]",-0.2889402302305454,1.8685739040374756,34410,L3,1
"[100, 49, 100, 5, 0.0]",-0.7492087318378312,1.8738548755645752,89654,L3,1
"[1, 100, 1, 5, 0.0]",-0.32653317497614454,2.0614089965820312,121313,L3,1
"[1, 1, 47, 16, 0.0]",-0.745306780204808,2.249251127243042,38,L3,1
"[39, 100, 100, 100, 1.0]",-0.742162271837813,2.023671865463257,142897,L3,1
"[38, 1, 100, 100, 0.0]",-0.7421617796245226,2.0636789798736572,6254,L3,1
"[100, 38, 1, 51, 1.0]",-0.7421618331235971,1.9619247913360596,73671,L3,1
"[1, 1, 1, 63, 1.0]",-0.20252043547677748,1.9563891887664795,38,L3,1
"[100, 1, 56, 5, 0.0]",-0.7497183014288046,1.9456760883331299,41222,L3,1
"[100, 100, 100, 45, 0.0]",-0.7421620337457354,1.9949309825897217,201701,L3,1
"[49, 1, 1, 5, 1.0]",-0.7676631091679831,1.9460151195526123,10214,L3,1
"[38, 49, 1, 100, 1.0]",-0.7421620471097179,2.0632660388946533,42782,L3,1
"[1, 1, 24, 79, 1.0]",-0.21981047789625968,2.117720127105713,38,L3,1
"[26, 20, 100, 33, 0.0]",-0.742164026644457,2.837347984313965,9973,L3,1
"[1, 75, 1, 56, 0.0]",-0.21594267095686873,1.9623119831085205,68488,L3,1
"[46, 100, 1, 5, 0.0]",-0.7662393086265716,1.9615859985351562,148133,L3,1
"[100, 53, 46, 100, 1.0]",-0.7421620738702782,1.960745096206665,96186,L3,1
"[1, 23, 71, 100, 1.0]",-0.2537282368290719,3.2600789070129395,6660,L3,1
"[1, 100, 42, 5, 1.0]",-0.6171683620625249,1.852025032043457,121313,L3,1
"[1, 100, 100, 100, 0.0]",-0.2086004654207842,1.8830468654632568,121313,L3,1
"[31, 1, 49, 100, 1.0]",-0.7424394648335795,2.2193949222564697,4238,L3,1
"[1, 100, 100, 67, 1.0]",-0.33522213288859765,1.9855029582977295,121313,L3,1
"[1, 20, 1, 82, 1.0]",-0.18016206952450792,2.1180050373077393,5073,L3,1
"[51, 100, 100, 5, 1.0]",-0.7421711391021633,1.974001169204712,152113,L3,1
"[1, 1, 45, 46, 1.0]",-0.2052236702665119,1.9935479164123535,38,L3,1
"[1, 26, 100, 100, 0.0]",-0.2768625098241383,2.105113983154297,8463,L3,1
"[1, 100, 1, 64, 1.0]",-0.6702131515172138,2.5333659648895264,121313,L3,1
"[100, 57, 35, 5, 1.0]",-0.7431541425267046,1.9765989780426025,103102,L3,1
"[1, 51, 1, 80, 0.0]",-0.3007473395195172,2.031916856765747,31888,L3,1
"[21, 64, 1, 55, 0.0]",-0.7421620180824945,1.8609600067138672,57037,L3,1
"[1, 6, 21, 100, 1.0]",-0.22245240487660992,2.327009916305542,523,L3,1
"[1, 65, 15, 66, 1.0]",-0.28687370062510487,2.448176860809326,51558,L3,1
"[10, 1, 100, 42, 1.0]",-0.23490701262147065,2.0059289932250977,542,L3,1
"[1, 8, 56, 75, 0.0]",-0.5611748456845036,2.0166280269622803,885,L3,1
"[37, 1, 100, 52, -0.0]",-0.7421619936212309,2.8469371795654297,5942,L3,1
"[61, 36, 44, 48, 0.1]",-0.7425593224250524,2.0746729373931885,40033,L3,1
"[1, 50, 1, 5, 1.0]",-0.34590543522794964,1.9683070182800293,30663,L3,1
"[100, 1, 46, 65, 1.0]",-0.7421617528750107,1.9629428386688232,41222,L3,1
"[100, 1, 100, 5, 0.0]",-0.7595259154087664,1.9728169441223145,41222,L3,1
"[100, 51, 100, 100, 0.0]",-0.7421618999975365,1.9036459922790527,92872,L3,1
"[100, 100, 51, 100, 0.0]",-0.7421622343688338,1.9973468780517578,201701,L3,1
"[1, 79, 100, 100, 1.0]",-0.23860681852689541,1.9115798473358154,75932,L3,1
"[1, 1, 20, 52, 0.0]",-0.21129264634731734,1.9310448169708252,38,L3,1
"[29, 1, 1, 53, 0.0]",-0.7422811720808706,3.4649500846862793,3734,L3,1
"[1, 47, 64, 100, 0.0]",-0.224135088253518,2.056988000869751,27132,L3,1
"[22, 43, 45, 100, -0.0]",-0.13842039211873688,2.8021650314331055,28472,L3,1
"[14, 33, 51, 100, 0.0]",-0.21467078333189,2.1277520656585693,16110,L3,1
"[22, 49, 66, 100, 0.0]",-0.17979338652746427,1.9649968147277832,35678,L3,1
"[35, 59, 46, 100, 0.0]",-0.4260380011107941,2.075511932373047,55744,L3,1
"[28, 52, 100, 100, 0.0]",-0.7421619215676353,2.2331178188323975,42101,L3,1
"[1, 18, 1, 100, 0.0]",-0.21536107164012125,2.014770030975342,4135,L3,1
"[1, 16, 15, 67, 0.0]",-0.28104909780778214,2.0122880935668945,3293,L3,1
"[17, 42, 28, 100, 1.0]",-0.181344338880464,2.3047280311584473,25695,L3,1
"[1, 62, 80, 100, 0.0]",-0.24141461944961837,1.872776985168457,46947,L3,1
"[100, 51, 1, 100, 1.0]",-0.7421618999975365,1.8910109996795654,92872,L3,1
"[100, 100, 1, 52, 0.0]",-0.7421620337457354,1.9623041152954102,201701,L3,1
"[1, 79, 1, 25, 1.0]",-0.23259356539727088,1.8445231914520264,75932,L3,1
"[1, 1, 1, 81, 1.0]",-0.21242197243407007,1.9646251201629639,38,L3,1
"[44, 1, 100, 5, 1.0]",-0.746770508799901,2.0659019947052,8294,L3,1
"[14, 51, 52, 100, 1.0]",-2.514203866792423,1.9749729633331299,35424,L3,1
"[31, 37, 44, 100, 0.0]",-0.7421619403797636,2.5893900394439697,25442,L3,1
"[22, 43, 74, 100, 0.0]",-0.35260900224922376,1.9451310634613037,28472,L3,1
"[66, 48, 1, 5, 0.0]",-0.7738859862306722,2.7781360149383545,58705,L3,1
"[1, 53, 100, 5, 0.0]",-0.3059086723311338,1.897752046585083,34410,L3,1
"[54, 100, 45, 100, 0.0]",-0.7421621407446017,1.9432790279388428,154597,L3,1
"[49, 100, 100, 54, 0.0]",-0.7908054387359085,1.9392821788787842,150497,L3,1
"[81, 95, 41, 8, 0.2]",-0.7438961061197199,2.063577175140381,166828,L3,1
