config,err,inf_time,size,arch,link
"[23, 53, 56, 6, 39, 0.2]",-1.1070236866914382,3.3648200035095215,44783,L4,4
"[69, 17, 8, 94, 59, 0.1]",-1.107048353874897,2.7277090549468994,65167,L4,4
"[73, 17, 26, 30, 71, 0.5]",-1.1024795271754406,3.0336179733276367,39535,L4,4
"[22, 45, 13, 92, 59, 0.5]",-1.1053413495033237,3.1516950130462646,56521,L4,4
"[32, 5, 75, 55, 78, 0.8]",-1.1074497220317587,2.749006986618042,58288,L4,4
"[8, 66, 6, 69, 47, 0.5]",-1.1041393900321346,2.745352029800415,42918,L4,4
"[66, 69, 27, 2, 78, 0.8]",-1.1069333805723132,3.5705389976501465,66207,L4,4
"[15, 58, 35, 24, 24, 0.3]",-1.1069560540366594,2.397343158721924,37133,L4,4
"[98, 22, 36, 3, 64, 0.2]",-1.1068353557222999,3.4703969955444336,58828,L4,4
"[74, 59, 43, 71, 97, 0.8]",-1.1058227378522525,3.391124963760376,104568,L4,4
"[44, 96, 6, 74, 69, 0.5]",-1.1068216524821268,3.87507700920105,88763,L4,4
"[57, 73, 69, 80, 16, 0.2]",-1.107085064868867,5.854518890380859,139253,L4,4
"[72, 40, 35, 16, 15, 0.4]",-1.106553691573471,2.7158098220825195,53377,L4,4
"[59, 74, 87, 97, 48, 0.4]",-1.1052674461917422,2.8577260971069336,182314,L4,4
"[31, 83, 91, 77, 11, 0.6]",-1.0916773922631688,2.997164011001587,158102,L4,4
"[94, 11, 98, 36, 67, 0.1]",-1.1070236866914382,3.4567699432373047,103357,L4,4
"[96, 65, 94, 91, 47, 0.9]",-1.0905451254400458,3.681051015853882,207708,L4,4
"[71, 27, 19, 66, 83, 0.9]",-1.1020098661247635,3.091426134109497,57767,L4,4
"[63, 17, 29, 59, 16, 0.3]",-1.1072792389933155,2.901421070098877,48404,L4,4
"[1, 90, 93, 35, 45, 0.7]",-1.1081016200584333,2.5625619888305664,119676,L4,4
"[46, 17, 96, 80, 5, 0.8]",-1.0863469734333562,3.267014980316162,113681,L4,4
"[92, 66, 1, 12, 65, 0.2]",-1.1062875031593042,3.343277931213379,77525,L4,4
"[97, 59, 96, 62, 6, 0.8]",-1.0973334220897335,4.7327258586883545,174863,L4,4
"[11, 93, 12, 42, 80, 1.0]",-1.1070237818372008,2.711148977279663,54003,L4,4
"[46, 12, 12, 12, 59, 1.0]",-1.1070237818372008,2.8610329627990723,14077,L4,4
"[35, 92, 83, 4, 9, 0.1]",-1.1070255182507511,3.0805699825286865,112129,L4,4
"[7, 65, 97, 53, 9, 0.0]",-1.107023567759262,2.8789050579071045,114542,L4,4
"[96, 97, 73, 39, 95, 0.5]",-1.1041006518765575,3.329472064971924,180504,L4,4
"[5, 6, 20, 96, 18, 0.1]",-0.43204672431649155,2.700782060623169,47613,L4,4
"[16, 1, 4, 95, 31, 0.5]",-0.49281538406375747,3.2339670658111572,39416,L4,4
"[5, 10, 78, 11, 23, 0.6]",-1.1066445712786708,3.4325859546661377,32520,L4,4
"[46, 9, 74, 98, 94, 0.9]",-1.1035318123830449,7.171818971633911,103627,L4,4
"[14, 16, 47, 87, 96, 0.5]",-1.105397639074982,3.014739990234375,61980,L4,4
"[12, 54, 99, 55, 92, 0.3]",-0.36528363756795484,3.307933807373047,110284,L4,4
"[1, 57, 100, 49, 100, 0.0]",-1.1070222409438033,4.197841167449951,106114,L4,4
"[29, 53, 100, 66, 84, 1.0]",-1.1070237818372008,3.1506881713867188,126947,L4,4
"[100, 100, 1, 100, 100, 0.0]",-1.1053633283013906,4.09869909286499,162509,L4,4
"[52, 72, 64, 65, 30, 0.4]",-1.0873430154626245,5.630370855331421,116170,L4,4
"[1, 100, 1, 100, 5, 0.0]",-1.0958764010395918,3.1824209690093994,82121,L4,4
"[100, 100, 1, 1, 5, 1.0]",-1.0844228591877967,3.409195899963379,121622,L4,4
"[1, 1, 1, 1, 100, -0.0]",-0.36392546688848515,2.636198043823242,50,L4,4
"[1, 1, 1, 1, 5, -0.0]",-0.8560723146967342,2.5331051349639893,50,L4,4
"[100, 1, 1, 100, 5, 1.0]",-1.0939119833650628,2.8130669593811035,82121,L4,4
"[100, 1, 100, 1, 5, 0.0]",-1.106747039442033,2.685250997543335,82418,L4,4
"[1, 1, 1, 100, 5, 1.0]",-0.44727901849658297,2.4888761043548584,40937,L4,4
"[1, 1, 100, 100, 5, 0.0]",-0.6036563932912895,2.619936943054199,121325,L4,4
"[26, 1, 100, 1, 100, 0.0]",-0.18313137614601116,2.548792839050293,44234,L4,4
"[100, 1, 100, 1, 100, 0.0]",-1.1070237818372008,2.6412317752838135,82418,L4,4
"[1, 1, 100, 1, 100, 0.0]",-1.1070237818372008,2.782914876937866,41234,L4,4
"[43, 1, 100, 1, 100, 0.0]",-1.1070237818372008,2.5289859771728516,49130,L4,4
"[100, 100, 1, 100, 5, 0.0]",-1.0933033593319565,4.08031702041626,162509,L4,4
"[1, 100, 1, 1, 5, 1.0]",-1.0912983894707113,2.3752760887145996,41234,L4,4
"[53, 4, 66, 88, 42, 0.2]",-1.1070231704914186,3.0874240398406982,85981,L4,4
"[100, 1, 1, 100, 100, -0.0]",-1.1068294154344356,2.8325188159942627,82121,L4,4
"[100, 100, 100, 1, 5, 0.0]",-1.1070008046516295,5.42031192779541,202010,L4,4
"[100, 1, 1, 1, 100, 1.0]",-1.1050605034401988,2.4964098930358887,41234,L4,4
"[100, 1, 1, 1, 5, 0.0]",-1.075248101244648,2.999439001083374,41234,L4,4
"[100, 1, 100, 100, 100, 0.0]",-1.1070237818372008,3.5316758155822754,162509,L4,4
"[1, 1, 1, 100, 100, 0.0]",-1.1068327669591653,2.468127965927124,40937,L4,4
"[1, 100, 100, 100, 100, 0.0]",-1.0597162143791663,2.6537530422210693,201713,L4,4
"[73, 52, 9, 51, 16, 0.0]",-1.1029741228911882,2.7215468883514404,62836,L4,4
"[1, 100, 1, 1, 100, 0.0]",-1.1066291640331163,3.032541036605835,41234,L4,4
"[1, 100, 1, 100, 100, 0.0]",-1.1054207051531844,3.1954591274261475,82121,L4,4
"[100, 100, 100, 100, 5, 0.0]",-1.0963583101112662,3.000333070755005,282101,L4,4
"[100, 1, 100, 100, 5, 0.0]",-1.1069298347752148,2.5060861110687256,162509,L4,4
"[1, 1, 100, 100, 100, 0.0]",-1.1070237811339845,3.6346800327301025,121325,L4,4
"[100, 100, 100, 100, 100, 0.0]",-1.1070237580507583,6.135735034942627,282101,L4,4
"[100, 100, 1, 1, 100, 1.0]",-1.1070238056236443,2.973505973815918,121622,L4,4
"[48, 100, 100, 1, 100, 0.0]",-1.1070237818372008,3.070472002029419,150010,L4,4
"[1, 100, 100, 100, 5, 0.0]",-0.5006614267294058,5.073768138885498,201713,L4,4
"[1, 36, 54, 100, 5, 1.0]",-1.1069278171174015,3.837639093399048,87241,L4,4
"[1, 1, 1, 60, 5, 0.0]",-1.098220806394319,2.689584970474243,14977,L4,4
"[13, 41, 100, 42, 78, 0.0]",-1.1070237818372008,2.356502056121826,90667,L4,4
"[1, 37, 1, 1, 100, 1.0]",-0.9202958064924603,2.4467689990997314,5954,L4,4
"[1, 1, 1, 37, 100, 0.0]",-1.0857439750178068,2.440776824951172,5846,L4,4
"[21, 1, 54, 1, 100, 0.0]",-0.9947462673167607,2.5481698513031006,14346,L4,4
"[59, 20, 16, 6, 42, 0.4]",-1.1066227094642198,3.744683027267456,23723,L4,4
"[100, 100, 100, 1, 100, 1.0]",-1.0597159744381728,7.500298976898193,202010,L4,4
"[1, 1, 1, 1, 64, 1.0]",-0.38357628742691224,3.1057050228118896,50,L4,4
"[1, 1, 37, 100, 42, 1.0]",-1.1052648741012954,4.611720085144043,61097,L4,4
"[31, 1, 18, 100, 5, 0.0]",-1.0941818088960957,2.5141727924346924,53365,L4,4
"[1, 22, 1, 100, 24, 0.0]",-0.26004506214884127,2.553014039993286,43121,L4,4
"[1, 1, 1, 100, 30, 0.0]",-1.102136619913974,2.398771047592163,40937,L4,4
"[1, 32, 1, 100, 5, 1.0]",-1.0726882718598232,3.097815990447998,45401,L4,4
"[19, 21, 1, 94, 29, 1.0]",-1.1021497962462428,3.2925829887390137,41323,L4,4
"[1, 100, 59, 100, 45, 0.0]",-0.3615272189249597,2.5890281200408936,142673,L4,4
"[1, 100, 100, 100, 45, 0.0]",-0.506303898238432,4.252577066421509,201713,L4,4
"[1, 100, 60, 100, 5, 1.0]",-1.1065543306341556,4.320250988006592,143953,L4,4
"[1, 100, 53, 100, 74, 0.0]",-1.1070237818372008,3.5346298217773438,135161,L4,4
"[1, 100, 63, 1, 100, 0.0]",-1.1070237818372008,3.109323024749756,82402,L4,4
"[36, 1, 100, 1, 5, 1.0]",-1.081913035082146,2.520900011062622,46834,L4,4
