config,err,inf_time,size,arch,link
"[23, 55, 0.6]",-0.21474085253377095,1.063382863998413,2324,L1,7
"[6, 39, 0.2]",-0.3497256110170395,1.0904879570007324,199,L1,7
"[69, 21, 0.1]",-0.1725350045273979,1.1260299682617188,19666,L1,7
"[94, 59, 0.1]",-0.16653252657415776,1.097670078277588,36191,L1,7
"[73, 20, 0.3]",-0.28012386491188745,1.0823650360107422,21974,L1,7
"[30, 71, 0.5]",-0.1018065550975964,1.0591590404510498,3871,L1,7
"[22, 47, 0.1]",-3.0118554054811666,1.064377784729004,2135,L1,7
"[92, 59, 0.5]",-0.2478156373569826,1.0441679954528809,34685,L1,7
"[32, 9, 0.8]",-0.32266553471280446,1.0352160930633545,4385,L1,7
"[55, 78, 0.8]",-0.18047363349990017,1.1107978820800781,12596,L1,7
"[8, 68, 0.1]",-0.2237972439085872,1.0683398246765137,329,L1,7
"[69, 47, 0.5]",-0.24054489841635113,1.221466064453125,19666,L1,7
"[66, 71, 0.3]",-0.2555793904191607,1.1226730346679688,18019,L1,7
"[2, 78, 0.8]",-0.8731944202712021,1.083292007446289,35,L1,7
"[15, 60, 0.3]",-0.16383435473383373,1.0542590618133545,1036,L1,7
"[24, 24, 0.3]",-0.1529475763660197,1.0442779064178467,2521,L1,7
"[98, 25, 0.4]",-0.3824307076496369,1.063464879989624,39299,L1,7
"[3, 64, 0.2]",-0.2578037829123551,1.0467970371246338,64,L1,7
"[74, 61, 0.4]",-0.29698617361625196,1.0950829982757568,22571,L1,7
"[71, 97, 0.8]",-0.11955969619450411,1.0751690864562988,20804,L1,7
"[100, 100, 0.3]",-0.8908565593021132,1.3817579746246338,40901,L1,7
"[25, 61, 1.0]",-0.30209856690908693,0.9696500301361084,2726,L1,7
"[32, 100, 0.9]",-0.20222722746826968,1.0553481578826904,4385,L1,7
"[1, 5, 0.0]",-0.2993949111548337,0.9585988521575928,14,L1,7
"[50, 30, 1.0]",-0.21406322491673516,0.9978880882263184,10451,L1,7
"[56, 5, 0.0]",-0.10919174777501026,1.021332025527954,13049,L1,7
"[90, 5, 0.0]",-0.08964085016687602,1.0799560546875,33211,L1,7
"[10, 100, 0.0]",-0.25930729032215133,0.9768109321594238,491,L1,7
"[48, 55, 1.0]",-0.09014610619983994,0.9905641078948975,9649,L1,7
"[52, 100, 0.0]",-8.478180767589095,1.0230140686035156,11285,L1,7
"[80, 91, 1.0]",-0.09653506403584644,1.0524520874023438,26321,L1,7
"[24, 90, 1.0]",-0.08324943372357411,1.0259780883789062,2521,L1,7
"[1, 24, 1.0]",-0.30988995863402335,0.9415040016174316,14,L1,7
"[100, 75, 0.0]",-0.11351661785987383,1.0543370246887207,40901,L1,7
"[46, 69, 0.0]",-1.4704474095548947,0.9905991554260254,8879,L1,7
"[100, 44, 0.0]",-0.0837186674460179,1.023056983947754,40901,L1,7
"[54, 45, 0.0]",-0.07901087975800176,1.0486969947814941,12151,L1,7
"[72, 5, 1.0]",-0.16777583530827517,1.0526080131530762,21385,L1,7
"[83, 38, 1.0]",-0.09365883768217576,1.008681058883667,28304,L1,7
"[17, 5, 1.0]",-0.2512582275358767,1.0807929039001465,1310,L1,7
"[100, 5, 1.0]",-0.11634980266414917,1.0460829734802246,40901,L1,7
"[23, 100, 1.0]",-0.15179216561358352,0.9655311107635498,2324,L1,7
"[79, 100, 0.0]",-0.1926451839367402,1.0068340301513672,25676,L1,7
"[83, 76, 0.0]",-0.10087493632410027,1.022960901260376,28304,L1,7
"[47, 16, 1.0]",-0.39642470808102903,1.0373148918151855,9260,L1,7
"[22, 78, 0.0]",-0.09415441767144857,0.9814400672912598,2135,L1,7
"[72, 83, 1.0]",-6.71404505987759,0.9915759563446045,21385,L1,7
"[88, 91, 1.0]",-17.471816969348076,1.086669921875,31769,L1,7
"[36, 33, 1.0]",-0.23661602621638075,0.9680690765380859,5509,L1,7
"[64, 33, 1.0]",-0.21438555817377056,0.975977897644043,16961,L1,7
"[36, 84, 1.0]",-0.2052680517963555,0.9879980087280273,5509,L1,7
"[86, 17, 0.0]",-0.0790027216756438,1.1108601093292236,30359,L1,7
"[1, 51, 1.0]",-0.2544448433660051,0.978050947189331,14,L1,7
"[77, 93, 1.0]",-0.06624961938872252,1.0314979553222656,24410,L1,7
"[41, 46, 0.0]",-0.08764744459363778,0.9743881225585938,7094,L1,7
"[13, 18, 1.0]",-0.26843615193029835,0.9697718620300293,794,L1,7
"[60, 58, 1.0]",-0.07044362148087567,1.0171821117401123,14941,L1,7
"[83, 49, 0.0]",-0.057720995471632744,1.2909119129180908,28304,L1,7
"[60, 16, 1.0]",-0.059732667050338174,1.0617737770080566,14941,L1,7
"[13, 87, 1.0]",-0.08164504148514826,0.9798300266265869,794,L1,7
"[84, 28, 0.0]",-0.23007631558747182,1.0869669914245605,28981,L1,7
"[1, 93, 0.0]",-0.2540436550260196,0.96858811378479,14,L1,7
"[44, 5, 1.0]",-0.13508110937624135,0.9966628551483154,8141,L1,7
"[37, 56, 1.0]",-0.08149501958351518,0.9917619228363037,5810,L1,7
"[15, 31, 0.0]",-0.3335793088583363,1.006438970565796,1036,L1,7
"[90, 70, 1.0]",-0.04194414754215391,0.991020917892456,33211,L1,7
"[35, 21, 0.0]",-0.10350805198760861,0.9987039566040039,5216,L1,7
"[100, 66, 0.0]",-0.13453665051644367,1.0416159629821777,40901,L1,7
"[93, 37, 1.0]",-0.8392718209523036,1.008375883102417,35434,L1,7
"[74, 35, 0.0]",-0.20834507634394558,0.9926910400390625,22571,L1,7
"[97, 14, 1.0]",-0.2316091412476998,1.0759100914001465,38510,L1,7
