config,err,inf_time,size,arch,link
"[23, 53, 57, 0.0]",-0.5751714431641409,1.4306159019470215,18678,L2,7
"[37, 23, 70, 0.2]",-1.26994517003129,1.731529951095581,11408,L2,7
"[8, 94, 59, 0.1]",-0.10096381291808802,1.5090200901031494,39143,L2,7
"[73, 17, 29, 0.3]",-0.8680884481435543,1.6082720756530762,28106,L2,7
"[70, 47, 25, 0.4]",-1.268617795881515,1.548008918762207,42392,L2,7
"[13, 92, 59, 0.5]",-0.1468225136495623,1.5168471336364746,39881,L2,7
"[32, 5, 76, 0.5]",-0.5467803609873984,3.384852886199951,5118,L2,7
"[77, 79, 12, 0.7]",-0.6034910823659728,1.7233421802520752,74024,L2,7
"[6, 69, 47, 0.5]",-0.343507447622901,1.4474740028381348,21238,L2,7
"[66, 69, 30, 0.0]",-0.26634635050941474,1.4415299892425537,55558,L2,7
"[77, 82, 18, 0.6]",-1.2699162956698058,1.8188540935516357,76895,L2,7
"[35, 24, 24, 0.3]",-0.46717059486520424,2.2923240661621094,10965,L2,7
"[98, 22, 39, 0.0]",-1.2699914289145104,1.5142090320587158,49871,L2,7
"[62, 24, 76, 0.6]",-1.2703573995804012,1.6262738704681396,24249,L2,7
"[43, 71, 97, 0.8]",-1.2713411312357377,1.6886188983917236,40472,L2,7
"[44, 96, 10, 0.7]",-0.21386548589542928,1.5792779922485352,62337,L2,7
"[68, 53, 59, 0.7]",-0.27540727414329713,1.551455020904541,44958,L2,7
"[69, 80, 16, 0.2]",-0.3513964837404735,1.5700099468231201,67677,L2,7
"[72, 40, 37, 0.2]",-0.5612246428265987,1.5374970436096191,39433,L2,7
"[11, 41, 60, 0.7]",-0.34288776261531556,3.712722063064575,9306,L2,7
"[60, 75, 5, 0.0]",-0.46674020371506825,1.4515361785888672,55756,L2,7
"[100, 100, 100, 0.0]",-1.2699910182699263,1.6762721538543701,121301,L2,7
"[1, 1, 5, 1.0]",-0.43051160743710604,2.11319899559021,26,L2,7
"[1, 100, 5, 0.0]",-1.13196079274259,1.488253116607666,40913,L2,7
"[1, 1, 100, 1.0]",-0.32754360652370684,1.3577330112457275,26,L2,7
"[100, 1, 100, 0.0]",-0.46243519362376306,1.4278738498687744,41210,L2,7
"[1, 100, 100, 1.0]",-1.373347382744205,1.5477209091186523,40913,L2,7
"[1, 1, 50, 1.0]",-0.28085788920937244,1.5711619853973389,26,L2,7
"[43, 100, 45, 0.0]",-1.2671275281720653,1.457880973815918,65441,L2,7
"[1, 45, 5, 1.0]",-0.32798683371948145,1.39469313621521,8518,L2,7
"[100, 47, 100, 1.0]",-1.2699914262343983,1.4643449783325195,68672,L2,7
"[1, 40, 100, 0.0]",-34.9078132684923,1.3102400302886963,6773,L2,7
"[100, 47, 23, 0.5]",-1.264917976229573,1.5806410312652588,68672,L2,7
"[11, 35, 43, 1.0]",-0.555555255788559,1.3971059322357178,7188,L2,7
"[51, 100, 100, 1.0]",-0.14237999799919496,1.4922840595245361,71713,L2,7
"[47, 1, 5, 0.0]",-1.2699902974687702,1.4342339038848877,9410,L2,7
"[6, 69, 94, 0.2]",-3.5389286011554186,1.5816690921783447,21238,L2,7
"[16, 84, 84, 0.0]",-2.9894208397364204,1.3805148601531982,35173,L2,7
"[43, 1, 48, 1.0]",-1.2662522730980483,1.3579092025756836,7922,L2,7
"[100, 1, 5, 1.0]",-1.2699906623026926,1.4548380374908447,41210,L2,7
"[100, 100, 58, 1.0]",-1.2699915721042265,1.6507530212402344,121301,L2,7
"[62, 1, 100, 1.0]",-1.2699893210444306,1.5099620819091797,16130,L2,7
"[100, 1, 66, 1.0]",-1.2699914266321204,1.5059599876403809,41210,L2,7
"[25, 65, 5, 1.0]",-0.525600062970343,1.4466619491577148,26426,L2,7
"[100, 100, 5, 0.0]",-0.21733211196634253,1.5477700233459473,121301,L2,7
"[73, 76, 100, 1.0]",-0.18322050524241268,1.4687690734863281,67577,L2,7
"[1, 100, 36, 1.0]",-0.39909743861834057,1.3986480236053467,40913,L2,7
"[100, 59, 63, 0.0]",-1.269991369285529,1.5570859909057617,78620,L2,7
"[68, 100, 76, 1.0]",-1.2699913746675857,1.4762470722198486,86741,L2,7
"[39, 67, 33, 1.0]",-0.11474036721216821,1.3773109912872314,35140,L2,7
"[39, 39, 5, 1.0]",-0.5730264319358711,1.356323003768921,18760,L2,7
"[68, 100, 5, 1.0]",-0.22608337016235117,1.4988281726837158,86741,L2,7
"[46, 38, 46, 1.0]",-1.2699900560334583,2.8825299739837646,21791,L2,7
"[100, 68, 5, 0.0]",-0.07059337673760717,1.4604699611663818,86837,L2,7
"[17, 22, 5, 0.0]",-0.5051813105563461,1.4564549922943115,4835,L2,7
"[7, 1, 73, 1.0]",-0.3270735453255392,1.3860340118408203,290,L2,7
"[22, 86, 29, 1.0]",-1.2699908017586168,1.4373619556427002,39695,L2,7
"[1, 70, 5, 0.0]",-0.6398642294613003,1.407425880432129,20243,L2,7
"[70, 49, 100, 0.0]",-1.2699911810274327,1.4646790027618408,43730,L2,7
"[100, 32, 5, 1.0]",-1.269932290205744,1.615199089050293,57857,L2,7
"[17, 1, 27, 0.0]",-1.0195460755834942,3.222423791885376,1370,L2,7
"[55, 73, 57, 1.0]",-0.47005930462380946,1.5190749168395996,50282,L2,7
"[1, 50, 49, 0.0]",-1.4028854233311352,1.3560681343078613,10463,L2,7
"[21, 21, 53, 1.0]",-0.9494208514850923,1.3683459758758545,5566,L2,7
"[70, 1, 60, 0.0]",-1.1674775561795343,1.4913408756256104,20450,L2,7
"[71, 100, 100, 1.0]",-1.2699914056085775,1.5929639339447021,89633,L2,7
"[70, 69, 79, 0.0]",-0.22973364311307,1.568786859512329,58870,L2,7
"[100, 29, 75, 0.0]",-1.2699910338488003,1.4818789958953857,55910,L2,7
"[29, 1, 100, 1.0]",-0.14041871054839167,3.4258968830108643,3722,L2,7
"[100, 75, 91, 1.0]",-0.5221409340438001,1.4705760478973389,93676,L2,7
"[1, 79, 61, 1.0]",-0.825860134459852,1.327646017074585,25688,L2,7
"[24, 49, 21, 0.0]",-0.36835587390319996,1.3786461353302002,17050,L2,7
"[51, 80, 26, 1.0]",-1.2698904275503355,1.5275781154632568,53133,L2,7
"[74, 1, 5, 0.0]",-1.2699905117870505,1.5158700942993164,22802,L2,7
"[45, 22, 98, 0.0]",-0.2254763103001612,1.404040813446045,14467,L2,7
"[43, 1, 91, 0.0]",-0.3972121163657493,1.4365909099578857,7922,L2,7
"[58, 23, 100, 1.0]",-0.9924809183913406,1.5931499004364014,21488,L2,7
"[100, 1, 34, 1.0]",-1.2699915832621043,1.473438024520874,41210,L2,7
"[16, 100, 48, 1.0]",-3.673260399118608,1.4889190196990967,48053,L2,7
"[1, 81, 29, 1.0]",-1.4023878747073493,1.4299860000610352,26986,L2,7
"[32, 60, 71, 0.3]",-0.24555488345100063,1.4854660034179688,26733,L2,7
"[27, 75, 55, 0.0]",-1.269991587071671,1.4120218753814697,34108,L2,7
"[51, 54, 75, 1.0]",-0.25133918088214824,1.4899969100952148,33763,L2,7
"[67, 100, 46, 0.0]",-0.6564958154826653,1.4498300552368164,85793,L2,7
"[1, 19, 21, 1.0]",-0.2549022984894334,1.3337721824645996,1628,L2,7
"[27, 100, 5, 0.0]",-0.5084466316860211,1.532623052597046,54433,L2,7
"[81, 59, 5, -0.0]",-0.4066356339578508,1.3772411346435547,60228,L2,7
"[78, 74, 55, 0.0]",-1.268835194944638,1.5160338878631592,70323,L2,7
"[44, 55, 23, 0.0]",-1.2694455194111478,1.3927788734436035,30152,L2,7
"[60, 25, 5, 1.0]",-0.1463272605389441,1.4537959098815918,23506,L2,7
"[15, 1, 89, 1.0]",-0.28424889500673167,1.336683988571167,1090,L2,7
"[22, 65, 29, 1.0]",-0.378343662043104,1.4049279689788818,25058,L2,7
"[94, 46, 49, 0.5]",-1.2698387253032073,1.5331990718841553,62087,L2,7
"[57, 81, 87, 0.0]",-0.12464733987895972,1.4371628761291504,58570,L2,7
"[52, 100, 5, 0.0]",-0.7804296815416345,1.575868844985962,72533,L2,7
"[100, 100, 30, 0.0]",-1.269993082731702,1.5777978897094727,121301,L2,7
"[1, 24, 5, 1.0]",-0.596301791255739,3.1791810989379883,2533,L2,7
"[32, 85, 5, 0.0]",-0.372640896313131,1.4525208473205566,44558,L2,7
"[1, 1, 27, 1.0]",-0.31790600796014196,1.3974480628967285,26,L2,7
"[58, 60, 45, 0.0]",-1.269596779924302,1.4879150390625,42541,L2,7
"[75, 29, 54, 0.0]",-1.269991572530923,1.453382968902588,35310,L2,7
"[48, 70, 74, 1.0]",-0.3609465326790686,2.2265849113464355,42991,L2,7
"[17, 39, 55, 1.0]",-1.3459257048191675,2.108443021774292,10224,L2,7
"[5, 25, 69, 0.8]",-0.5091596679932496,2.309041976928711,3266,L2,7
"[1, 22, 56, 1.0]",-0.8850406831371544,1.3403220176696777,2147,L2,7
"[12, 19, 65, 0.0]",-0.45876303801039625,2.0420749187469482,3124,L2,7
"[13, 32, 24, 1.0]",-0.3025008738711256,1.7872118949890137,6701,L2,7
"[49, 100, 67, 0.0]",-1.2699902862596586,1.5158870220184326,70097,L2,7
"[1, 1, 85, 1.0]",-0.3114621425556247,1.462352991104126,26,L2,7
"[57, 83, 100, 1.0]",-1.2699915602873495,1.380690097808838,60348,L2,7
"[2, 24, 89, 0.5]",-0.474365520033609,1.9822590351104736,2649,L2,7
"[2, 17, 85, 0.7]",-0.5042363575331819,2.3409650325775146,1410,L2,7
"[33, 100, 100, 1.0]",-0.20874555414607412,1.48260498046875,58321,L2,7
"[1, 50, 24, 1.0]",-1.2446047485129272,1.3943018913269043,10463,L2,7
"[100, 22, 100, 0.0]",-1.269991538713742,1.530045986175537,51647,L2,7
"[20, 1, 58, 0.0]",-0.14600150804469614,1.291867971420288,1850,L2,7
"[1, 100, 72, 1.0]",-24.567317292168287,1.443207025527954,40913,L2,7
"[100, 72, 33, 1.0]",-1.2699917369790954,1.4645719528198242,90697,L2,7
"[6, 89, 53, 0.0]",-0.5278482723639422,1.3524460792541504,34458,L2,7
"[82, 1, 86, 1.0]",-1.2699879829613656,1.416337013244629,27890,L2,7
"[75, 36, 5, 1.0]",-0.36909328467854585,1.3899729251861572,39265,L2,7
"[58, 1, 29, 1.0]",-1.2699634358781222,1.5346770286560059,14162,L2,7
"[78, 49, 76, 1.0]",-1.269990616625568,1.5192139148712158,50098,L2,7
"[23, 1, 5, 1.0]",-0.9688738242890536,1.41737699508667,2402,L2,7
"[46, 44, 100, 1.0]",-0.36933982765733897,1.3570268154144287,24893,L2,7
"[59, 51, 5, 1.0]",-0.17239278707633143,1.390671968460083,37092,L2,7
"[100, 84, 74, 0.0]",-1.2699914047074194,1.407562017440796,103045,L2,7
"[63, 100, 25, 1.0]",-0.2283562579314242,1.526313066482544,82081,L2,7
"[87, 67, 100, 0.0]",-1.2699892862269138,1.3620061874389648,72580,L2,7
"[100, 84, 5, 1.0]",-1.2699447961054258,1.4763128757476807,103045,L2,7
"[19, 43, 5, 1.0]",-0.30313204275012423,1.407128095626831,12476,L2,7
"[84, 92, 67, 0.1]",-0.12203423856842796,1.6367411613464355,94125,L2,7
"[1, 19, 37, 1.0]",-1.1009267137373957,1.3184540271759033,1628,L2,7
"[55, 28, 23, 0.0]",-1.0217243665258593,1.6661579608917236,21977,L2,7
"[39, 21, 5, 1.0]",-0.37340446559726237,1.3417959213256836,11542,L2,7
"[9, 64, 63, 1.0]",-1.2699912271115121,1.3325550556182861,19405,L2,7
"[79, 83, 84, 1.0]",-1.2699905606877724,1.4302401542663574,79796,L2,7
"[8, 39, 82, 0.8]",-0.2267288823325836,1.8297359943389893,7848,L2,7
"[11, 37, 76, 1.0]",-0.39605189219040676,1.8973422050476074,7862,L2,7
"[36, 44, 82, 0.0]",-0.27475186969133153,1.3023560047149658,19773,L2,7
"[28, 17, 91, 1.0]",-0.37679912212263567,1.442183017730713,6506,L2,7
"[21, 43, 99, 0.0]",-0.42263401074903245,1.4226748943328857,13156,L2,7
"[30, 44, 99, 0.0]",-0.30113603362830965,1.4225778579711914,17085,L2,7
"[22, 47, 83, 1.0]",-0.3565090774358814,1.4158952236175537,15320,L2,7
"[44, 66, 5, 0.0]",-0.1746708567203386,1.4489591121673584,37467,L2,7
"[84, 100, 5, 0.0]",-0.9821177582918824,1.4795029163360596,102997,L2,7
"[52, 1, 73, 0.0]",-1.2699913521079633,1.3544399738311768,11450,L2,7
"[43, 88, 77, 0.0]",-1.2699910483728485,1.4680209159851074,54293,L2,7
"[45, 9, 22, 0.7]",-0.5626415871735299,2.386568784713745,10450,L2,7
"[38, 100, 23, 0.0]",-0.2447664824355408,1.5951800346374512,61781,L2,7
"[27, 33, 90, 1.0]",-1.2699186064387413,2.969231128692627,11218,L2,7
"[79, 25, 100, 0.0]",-1.2699914362786444,1.486678123474121,36122,L2,7
"[81, 20, 5, 0.0]",-0.6969281229623149,1.4398221969604492,35073,L2,7
"[100, 54, 5, 0.0]",-0.13512863855560558,1.4015469551086426,74335,L2,7
"[1, 45, 71, 1.0]",-0.39818523895910135,1.4204680919647217,8518,L2,7
"[9, 25, 82, 0.0]",-0.2844734303463127,1.346247911453247,3922,L2,7
"[79, 1, 41, 1.0]",-0.807668953376672,1.467419147491455,25922,L2,7
"[30, 55, 41, 1.0]",-1.2699911491380023,1.3981549739837646,22816,L2,7
"[13, 19, 99, 0.3]",-0.609060695323886,3.136842966079712,3308,L2,7
"[41, 47, 65, 1.0]",-1.2699909503742053,1.5853509902954102,23832,L2,7
"[59, 62, 88, 0.0]",-0.3847680729577646,1.3647611141204834,44715,L2,7
"[54, 41, 85, 0.0]",-1.2682659027574044,1.4048171043395996,27882,L2,7
"[84, 100, 45, 0.0]",-1.2699915679048672,1.512531042098999,102997,L2,7
"[15, 83, 5, 1.0]",-0.22982384885687426,1.351773977279663,33972,L2,7
"[17, 8, 100, 0.0]",-0.26084741996430366,1.4306199550628662,2133,L2,7
"[32, 59, 88, 0.0]",-0.17404829975925976,1.3734679222106934,26124,L2,7
"[87, 70, 76, 0.5]",-1.2672277021570715,1.7627370357513428,75283,L2,7
"[92, 100, 79, 0.0]",-1.2699916064502113,1.5258629322052002,111893,L2,7
"[63, 80, 71, 0.0]",-1.2699901850716413,1.5202441215515137,62541,L2,7
"[29, 14, 37, 1.0]",-1.2663379506326649,1.3815720081329346,6075,L2,7
